ProjectID,MonthStart,BudgetEUR,ActualEUR,CommittedEUR,EAC_EUR,CostDriver,Currency
PRJ00006,2026-04-01,1010404,1056132,1240997,97940946,Risk Realised,EUR
PRJ00006,2026-05-01,287019,246437,246437,97873322,Risk Realised,EUR
PRJ00007,2024-07-01,633,789,7611246,15666958,Design Rework,EUR
PRJ00007,2024-08-01,13071,14030,8947675,15624537,Design Rework,EUR
PRJ00007,2024-09-01,40016,38520,10997813,16488302,Design Rework,EUR
PRJ00007,2024-10-01,79635,83540,10223819,16178162,Design Rework,EUR
PRJ00007,2024-11-01,130093,148165,9350682,15856736,Design Rework,EUR
PRJ00007,2024-12-01,189555,200547,6902230,15543990,Design Rework,EUR
PRJ00007,2025-01-01,256186,252093,8883998,15834717,Design Rework,EUR
PRJ00007,2025-02-01,328153,369543,9515065,16472102,Design Rework,EUR
PRJ00007,2025-03-01,403621,382519,10178142,15874960,Design Rework,EUR
PRJ00007,2025-04-01,480754,469212,5727146,16532551,Design Rework,EUR
PRJ00007,2025-05-01,557719,621590,6757617,16737134,Design Rework,EUR
PRJ00007,2025-06-01,632681,623812,5393225,15734891,Design Rework,EUR
PRJ00007,2025-07-01,703805,726522,9246777,16460227,Design Rework,EUR
PRJ00007,2025-08-01,769258,824415,7985460,16171986,Design Rework,EUR
PRJ00007,2025-09-01,827203,881397,7577564,15512815,Design Rework,EUR
PRJ00007,2025-10-01,875808,846432,4212919,15624118,Design Rework,EUR
PRJ00007,2025-11-01,913236,1009300,6838990,15689335,Design Rework,EUR
PRJ00007,2025-12-01,937655,911233,3541916,15618557,Design Rework,EUR
PRJ00007,2026-01-01,947228,1180833,3444492,15564549,Design Rework,EUR
PRJ00007,2026-02-01,940122,965553,4417595,15660571,Design Rework,EUR
PRJ00007,2026-03-01,914502,1038001,3559557,15722345,Design Rework,EUR
PRJ00007,2026-04-01,868534,997465,3263270,15646518,Design Rework,EUR
PRJ00007,2026-05-01,800382,826018,2180682,15642680,Design Rework,EUR
PRJ00007,2026-06-01,708213,684504,1254001,15597586,Design Rework,EUR
PRJ00007,2026-07-01,590192,677584,992866,15583672,Design Rework,EUR
PRJ00007,2026-08-01,444484,407940,561150,15539168,Design Rework,EUR
PRJ00007,2026-09-01,269255,251520,277627,15498424,Design Rework,EUR
PRJ00007,2026-10-01,62670,71127,71127,15504207,Design Rework,EUR
PRJ00008,2025-02-01,841,949,8765601,16844725,Productivity Delay,EUR
PRJ00008,2025-03-01,23908,23734,9172629,16342001,Productivity Delay,EUR
PRJ00008,2025-04-01,75185,87203,11372567,17575967,Productivity Delay,EUR
PRJ00008,2025-05-01,150166,156932,6654644,16878076,Productivity Delay,EUR
PRJ00008,2025-06-01,244343,269126,12315455,17393125,Productivity Delay,EUR
PRJ00008,2025-07-01,353207,411875,8581545,17245675,Productivity Delay,EUR
PRJ00008,2025-08-01,472252,436255,6464058,16880835,Productivity Delay,EUR
PRJ00008,2025-09-01,596970,611325,11736325,16750949,Productivity Delay,EUR
PRJ00008,2025-10-01,722853,790957,8562509,16389634,Productivity Delay,EUR
PRJ00008,2025-11-01,845394,905229,6169409,16728586,Productivity Delay,EUR
PRJ00008,2025-12-01,960085,877340,5750829,16397151,Productivity Delay,EUR
PRJ00008,2026-01-01,1062418,1193238,8058415,16570143,Productivity Delay,EUR
PRJ00008,2026-02-01,1147886,1211032,5613214,17082733,Productivity Delay,EUR
PRJ00008,2026-03-01,1211981,1288898,6794065,16743571,Productivity Delay,EUR
PRJ00008,2026-04-01,1250195,1283648,6411538,16644223,Productivity Delay,EUR
PRJ00008,2026-05-01,1258022,900633,3372359,16286754,Productivity Delay,EUR
PRJ00008,2026-06-01,1230953,1363001,4451494,16243935,Productivity Delay,EUR
PRJ00008,2026-07-01,1164480,1294602,3662843,16348059,Productivity Delay,EUR
PRJ00008,2026-08-01,1054097,1060157,2653441,16445112,Productivity Delay,EUR
PRJ00008,2026-09-01,895295,800506,1706944,16283635,Productivity Delay,EUR
PRJ00008,2026-10-01,683567,679316,972653,16177340,Productivity Delay,EUR
PRJ00008,2026-11-01,414405,478420,544588,16208930,Productivity Delay,EUR
PRJ00008,2026-12-01,83302,83900,83900,16208277,Productivity Delay,EUR
PRJ00009,2024-05-01,3107,3820,55171192,89291692,Inflation/Materials,EUR
PRJ00009,2024-06-01,52086,65465,45607865,87246897,Inflation/Materials,EUR
PRJ00009,2024-07-01,155964,188049,55352879,88560094,Inflation/Materials,EUR
PRJ00009,2024-08-01,308792,335122,63825373,87605756,Inflation/Materials,EUR
PRJ00009,2024-09-01,504622,564843,56743829,88578395,Inflation/Materials,EUR
PRJ00009,2024-10-01,737502,728255,40197833,85122297,Inflation/Materials,EUR
PRJ00009,2024-11-01,1001486,1086904,33755277,87072426,Inflation/Materials,EUR
PRJ00009,2024-12-01,1290622,1470063,41450621,90512626,Inflation/Materials,EUR
PRJ00009,2025-01-01,1598962,1824530,39473828,90816505,Inflation/Materials,EUR
PRJ00009,2025-02-01,1920556,2010251,32795113,88831467,Inflation/Materials,EUR
PRJ00009,2025-03-01,2249456,1900476,35256890,88488625,Inflation/Materials,EUR
PRJ00009,2025-04-01,2579711,2320698,36134879,84312190,Inflation/Materials,EUR
PRJ00009,2025-05-01,2905373,3226289,51963406,89032325,Inflation/Materials,EUR
PRJ00009,2025-06-01,3220492,3241205,45748328,90545720,Inflation/Materials,EUR
PRJ00009,2025-07-01,3519118,3978410,49394283,85560224,Inflation/Materials,EUR
PRJ00009,2025-08-01,3795304,3533328,29398145,89175446,Inflation/Materials,EUR
PRJ00009,2025-09-01,4043098,4869217,46787428,85832788,Inflation/Materials,EUR
PRJ00009,2025-10-01,4256553,4088897,34218312,87854322,Inflation/Materials,EUR
PRJ00009,2025-11-01,4429718,5388802,36067258,86195615,Inflation/Materials,EUR
PRJ00009,2025-12-01,4556645,4080661,22307974,85904429,Inflation/Materials,EUR
PRJ00009,2026-01-01,4631384,5205464,23443472,86823768,Inflation/Materials,EUR
PRJ00009,2026-02-01,4647985,4467941,21490407,86272872,Inflation/Materials,EUR
PRJ00009,2026-03-01,4600500,4872206,21070815,88047614,Inflation/Materials,EUR
PRJ00009,2026-04-01,4482979,5263430,21292844,87691668,Inflation/Materials,EUR
PRJ00009,2026-05-01,4289473,4956862,15489820,87422824,Inflation/Materials,EUR
PRJ00009,2026-06-01,4014032,3904656,9326167,87754053,Inflation/Materials,EUR
PRJ00009,2026-07-01,3650708,3632702,10076289,87444756,Inflation/Materials,EUR
PRJ00009,2026-08-01,3193551,2852754,6042907,86720458,Inflation/Materials,EUR
PRJ00009,2026-09-01,2636611,2293982,4904029,86128704,Inflation/Materials,EUR
PRJ00009,2026-10-01,1973939,1917901,3079090,85907313,Inflation/Materials,EUR
PRJ00009,2026-11-01,1199587,1162878,1316938,85757224,Inflation/Materials,EUR
PRJ00009,2026-12-01,307604,276946,276946,85713008,Inflation/Materials,EUR
PRJ00010,2023-06-01,2635,3298,29751577,51771341,Design Rework,EUR
PRJ00010,2023-07-01,87175,109271,33564899,50581309,Design Rework,EUR
PRJ00010,2023-08-01,276893,311342,27675849,51196672,Design Rework,EUR
PRJ00010,2023-09-01,553002,758935,19865313,53848988,Design Rework,EUR
PRJ00010,2023-10-01,896716,989625,32589734,51930030,Design Rework,EUR
PRJ00010,2023-11-01,1289249,1330530,22636848,49146186,Design Rework,EUR
PRJ00010,2023-12-01,1711814,1898923,23758404,53244355,Design Rework,EUR
PRJ00010,2024-01-01,2145625,1992896,28645201,49848699,Design Rework,EUR
PRJ00010,2024-02-01,2571896,2124185,24771495,50663649,Design Rework,EUR
PRJ00010,2024-03-01,2971841,2619674,16528152,48060870,Design Rework,EUR
PRJ00010,2024-04-01,3326673,3252402,15157439,49376026,Design Rework,EUR
PRJ00010,2024-05-01,3617606,4474343,17668515,48847654,Design Rework,EUR
PRJ00010,2024-06-01,3825855,3027384,12966455,47049980,Design Rework,EUR
PRJ00010,2024-07-01,3932632,3470129,12770248,45769177,Design Rework,EUR
PRJ00010,2024-08-01,3919152,4801352,15232695,48467213,Design Rework,EUR
PRJ00010,2024-09-01,3766629,3771424,8996939,47065176,Design Rework,EUR
PRJ00010,2024-10-01,3456275,3565524,8088761,45991367,Design Rework,EUR
PRJ00010,2024-11-01,2969305,2962823,5874671,45801264,Design Rework,EUR
PRJ00010,2024-12-01,2286934,3298262,4420726,46640283,Design Rework,EUR
PRJ00010,2025-01-01,1390373,1637738,1827543,46694213,Design Rework,EUR
PRJ00010,2025-02-01,260838,291754,291754,46691813,Design Rework,EUR
PRJ00011,2023-09-01,3182,4285,32518735,65668849,Risk Realised,EUR
PRJ00011,2023-10-01,97371,109528,24937857,65036775,Risk Realised,EUR
PRJ00011,2023-11-01,307768,408512,33561976,62487261,Risk Realised,EUR
PRJ00011,2023-12-01,614770,645468,39738174,62947205,Risk Realised,EUR
PRJ00011,2024-01-01,998776,1166377,42374149,68152068,Risk Realised,EUR
PRJ00011,2024-02-01,1440187,1368254,26632871,62381995,Risk Realised,EUR
PRJ00011,2024-03-01,1919399,2098374,37605305,64051167,Risk Realised,EUR
PRJ00011,2024-04-01,2416813,3219963,30877576,65356111,Risk Realised,EUR
PRJ00011,2024-05-01,2912826,2926121,30173695,62180685,Risk Realised,EUR
PRJ00011,2024-06-01,3387838,3437806,35409810,63046814,Risk Realised,EUR
PRJ00011,2024-07-01,3822248,4511047,26660924,63632884,Risk Realised,EUR
PRJ00011,2024-08-01,4196454,4626561,26491753,62281337,Risk Realised,EUR
PRJ00011,2024-09-01,4490856,5823194,27692806,63539601,Risk Realised,EUR
PRJ00011,2024-10-01,4685851,4984516,22089842,63953223,Risk Realised,EUR
PRJ00011,2024-11-01,4761839,5226110,14711989,62972939,Risk Realised,EUR
PRJ00011,2024-12-01,4699218,5284444,16899971,64785507,Risk Realised,EUR
PRJ00011,2025-01-01,4478388,4356315,13828175,62667491,Risk Realised,EUR
PRJ00011,2025-02-01,4079747,3869440,8802885,63105096,Risk Realised,EUR
PRJ00011,2025-03-01,3483694,3269501,6205152,62586903,Risk Realised,EUR
PRJ00011,2025-04-01,2670628,1948074,2770965,61501144,Risk Realised,EUR
PRJ00011,2025-05-01,1620948,1751809,1935869,61395898,Risk Realised,EUR
PRJ00011,2025-06-01,315051,298739,298739,61334438,Risk Realised,EUR
PRJ00012,2025-11-01,10880,11989,67051597,135386296,Scope Change,EUR
PRJ00012,2025-12-01,732822,837175,72393038,137172261,Scope Change,EUR
PRJ00012,2026-01-01,2383900,3020606,94138100,142888831,Scope Change,EUR
PRJ00012,2026-02-01,4681627,5020477,89481082,136825180,Scope Change,EUR
PRJ00012,2026-03-01,7343513,7567084,87005767,133342761,Scope Change,EUR
PRJ00012,2026-04-01,10087071,9260598,57179179,134126339,Scope Change,EUR
PRJ00012,2026-05-01,12629812,15105769,52313617,134746584,Scope Change,EUR
PRJ00012,2026-06-01,14689249,16496149,48059295,136641239,Scope Change,EUR
PRJ00012,2026-07-01,15982894,16057721,55535310,135034081,Scope Change,EUR
PRJ00012,2026-08-01,16228257,19226574,37912579,133166272,Scope Change,EUR
PRJ00012,2026-09-01,15142851,16090522,26208490,132606612,Scope Change,EUR
PRJ00012,2026-10-01,12444188,11875223,18444133,130397732,Scope Change,EUR
PRJ00012,2026-11-01,7849780,9783880,10248813,131561844,Scope Change,EUR
PRJ00012,2026-12-01,1077138,940405,940405,131294172,Scope Change,EUR
PRJ00013,2026-04-01,7049,7267,35852233,51907662,Inflation/Materials,EUR
PRJ00013,2026-05-01,1084393,1200783,31085914,51470445,Inflation/Materials,EUR
PRJ00013,2026-06-01,3449230,3589534,25797102,52943351,Inflation/Materials,EUR
PRJ00013,2026-07-01,6316243,5123987,23644407,49700572,Inflation/Materials,EUR
PRJ00013,2026-08-01,8900114,8269913,30541902,47214963,Inflation/Materials,EUR
PRJ00013,2026-09-01,10415527,11417838,24460755,48547278,Inflation/Materials,EUR
PRJ00013,2026-10-01,10077163,12288635,15470550,49898501,Inflation/Materials,EUR
