ProjectID,ReadinessArea,Status,Score,DueDate,LastUpdatedDate,OwnerRole
PRJ00003,Contractor Mobilisation,Not Started,0.0,2026-08-08,2026-01-18,Engineering Manager
PRJ00003,Outage Plan,In Progress,0.66,2026-08-14,2026-01-18,Engineering Manager
PRJ00003,Stakeholder Engagement,At Risk,0.55,2026-08-07,2026-01-18,Construction Manager
PRJ00003,Safety & Compliance,In Progress,0.3,2026-09-15,2026-01-18,PMO Lead
PRJ00003,Environmental,In Progress,0.65,2026-07-31,2026-01-18,Commercial Manager
PRJ00003,Resource Plan,Complete,1.0,2026-08-27,2026-01-18,Consents Lead
PRJ00004,Permits & Consents,Complete,1.0,2024-06-08,2024-06-10,PMO Lead
PRJ00004,Land Access,At Risk,0.58,2024-06-21,2024-05-30,Commercial Manager
PRJ00004,Design Maturity,At Risk,0.1,2024-06-07,2024-06-11,Commercial Manager
PRJ00004,Procurement,Complete,1.0,2024-05-22,2024-06-08,Engineering Manager
PRJ00004,Contractor Mobilisation,Complete,1.0,2024-07-26,2024-07-13,Construction Manager
PRJ00004,Outage Plan,Complete,1.0,2024-06-21,2024-06-13,HSE Lead
PRJ00004,Stakeholder Engagement,In Progress,0.45,2024-06-15,2024-05-26,PMO Lead
PRJ00004,Safety & Compliance,Complete,1.0,2024-05-27,2024-04-29,Stakeholder Manager
PRJ00004,Environmental,Complete,1.0,2024-05-24,2024-04-29,Construction Manager
PRJ00004,Resource Plan,Complete,1.0,2024-06-13,2024-06-15,HSE Lead
PRJ00005,Permits & Consents,Complete,1.0,2024-02-24,2024-03-12,Construction Manager
PRJ00005,Land Access,Complete,1.0,2024-02-20,2024-02-25,Commercial Manager
PRJ00005,Design Maturity,Complete,1.0,2024-03-10,2024-02-14,Programme Controls
PRJ00005,Procurement,Not Started,0.0,2024-01-26,2024-02-04,Engineering Manager
PRJ00005,Contractor Mobilisation,Complete,1.0,2024-03-03,2024-02-13,Engineering Manager
PRJ00005,Outage Plan,Complete,1.0,2024-02-07,2024-02-10,Commercial Manager
PRJ00005,Stakeholder Engagement,Complete,1.0,2024-03-03,2024-01-31,Engineering Manager
PRJ00005,Safety & Compliance,In Progress,0.21,2024-02-02,2024-02-15,Commercial Manager
PRJ00005,Environmental,Complete,1.0,2024-01-13,2024-01-30,Engineering Manager
PRJ00005,Resource Plan,Not Started,0.0,2024-02-18,2024-02-13,Stakeholder Manager
PRJ00006,Permits & Consents,At Risk,0.49,2024-04-15,2024-04-20,Commercial Manager
PRJ00006,Land Access,Complete,1.0,2024-04-06,2024-03-04,HSE Lead
PRJ00006,Design Maturity,Not Started,0.0,2024-04-24,2024-04-14,Consents Lead
PRJ00006,Procurement,In Progress,0.49,2024-04-05,2024-03-06,Consents Lead
PRJ00006,Contractor Mobilisation,Complete,1.0,2024-04-05,2024-03-31,Commercial Manager
PRJ00006,Outage Plan,In Progress,0.29,2024-04-29,2024-04-05,HSE Lead
PRJ00006,Stakeholder Engagement,In Progress,0.42,2024-04-24,2024-04-25,PMO Lead
PRJ00006,Safety & Compliance,In Progress,0.49,2024-04-11,2024-03-08,Consents Lead
PRJ00006,Environmental,In Progress,0.6,2024-03-20,2024-03-02,Construction Manager
PRJ00006,Resource Plan,At Risk,0.33,2024-05-06,2024-04-15,Construction Manager
PRJ00007,Permits & Consents,In Progress,0.72,2025-03-09,2025-03-25,Construction Manager
PRJ00007,Land Access,Not Started,0.0,2025-03-05,2025-03-03,PMO Lead
PRJ00007,Design Maturity,At Risk,0.2,2025-04-06,2025-04-09,PMO Lead
PRJ00007,Procurement,In Progress,0.26,2025-03-23,2025-02-24,Construction Manager
PRJ00007,Contractor Mobilisation,Complete,1.0,2025-04-17,2025-03-19,Consents Lead
PRJ00007,Outage Plan,In Progress,0.24,2025-03-16,2025-03-10,HSE Lead
PRJ00007,Stakeholder Engagement,Complete,1.0,2025-03-11,2025-03-12,Engineering Manager
PRJ00007,Safety & Compliance,Complete,1.0,2025-02-18,2025-01-29,Consents Lead
PRJ00007,Environmental,Complete,1.0,2025-02-23,2025-01-18,Programme Controls
PRJ00007,Resource Plan,Complete,1.0,2025-04-25,2025-04-16,PMO Lead
PRJ00008,Permits & Consents,Complete,1.0,2025-10-30,2025-10-21,Programme Controls
PRJ00008,Land Access,Complete,1.0,2025-10-22,2025-11-02,Stakeholder Manager
PRJ00008,Design Maturity,Complete,1.0,2025-10-21,2025-10-21,Programme Controls
PRJ00008,Procurement,Complete,1.0,2025-11-18,2025-10-30,Stakeholder Manager
PRJ00008,Contractor Mobilisation,In Progress,0.24,2025-12-06,2025-12-05,Stakeholder Manager
PRJ00008,Outage Plan,Complete,1.0,2025-12-14,2025-11-29,HSE Lead
PRJ00008,Stakeholder Engagement,Not Started,0.0,2025-12-20,2026-01-03,Construction Manager
PRJ00008,Safety & Compliance,Not Started,0.0,2025-10-21,2025-10-06,Stakeholder Manager
PRJ00008,Environmental,In Progress,0.53,2025-11-23,2025-12-04,Engineering Manager
PRJ00008,Resource Plan,Complete,1.0,2025-12-23,2025-12-31,Programme Controls
PRJ00009,Permits & Consents,Complete,1.0,2025-03-30,2025-04-19,Engineering Manager
PRJ00009,Land Access,In Progress,0.75,2025-04-05,2025-04-13,Programme Controls
PRJ00009,Design Maturity,In Progress,0.36,2025-03-19,2025-03-15,Commercial Manager
PRJ00009,Procurement,In Progress,0.31,2025-02-27,2025-01-28,PMO Lead
PRJ00009,Contractor Mobilisation,Complete,1.0,2025-02-28,2025-01-20,Programme Controls
PRJ00009,Outage Plan,Complete,1.0,2025-03-29,2025-03-03,Consents Lead
PRJ00009,Stakeholder Engagement,At Risk,0.16,2025-03-30,2025-03-24,Programme Controls
PRJ00009,Safety & Compliance,At Risk,0.56,2025-05-02,2025-03-27,Stakeholder Manager
PRJ00009,Environmental,In Progress,0.58,2025-03-25,2025-03-21,Commercial Manager
PRJ00009,Resource Plan,Not Started,0.0,2025-02-23,2025-01-21,HSE Lead
PRJ00010,Permits & Consents,Not Started,0.0,2023-11-07,2023-11-05,Engineering Manager
PRJ00010,Land Access,Complete,1.0,2023-10-21,2023-10-19,Programme Controls
PRJ00010,Design Maturity,In Progress,0.49,2023-10-21,2023-11-03,PMO Lead
PRJ00010,Procurement,Complete,1.0,2023-11-04,2023-11-23,Programme Controls
PRJ00010,Contractor Mobilisation,Not Started,0.0,2023-10-30,2023-09-29,Construction Manager
PRJ00010,Outage Plan,In Progress,0.4,2023-11-07,2023-10-26,PMO Lead
PRJ00010,Stakeholder Engagement,In Progress,0.22,2023-11-28,2023-11-30,Engineering Manager
PRJ00010,Safety & Compliance,Complete,1.0,2023-11-26,2023-11-17,Programme Controls
PRJ00010,Environmental,In Progress,0.3,2023-12-28,2024-01-13,Engineering Manager
PRJ00010,Resource Plan,In Progress,0.41,2023-12-15,2023-12-03,HSE Lead
PRJ00011,Permits & Consents,In Progress,0.42,2024-02-14,2024-01-25,PMO Lead
PRJ00011,Land Access,Complete,1.0,2024-03-09,2024-03-15,PMO Lead
PRJ00011,Design Maturity,Complete,1.0,2024-04-03,2024-02-24,Stakeholder Manager
PRJ00011,Procurement,At Risk,0.52,2024-03-01,2024-02-28,Stakeholder Manager
PRJ00011,Contractor Mobilisation,In Progress,0.5,2024-03-09,2024-02-18,Commercial Manager
PRJ00011,Outage Plan,Not Started,0.0,2024-04-10,2024-04-08,Consents Lead
PRJ00011,Stakeholder Engagement,Complete,1.0,2024-02-16,2024-01-11,Consents Lead
PRJ00011,Safety & Compliance,At Risk,0.11,2024-02-13,2024-02-01,Commercial Manager
PRJ00011,Environmental,Complete,1.0,2024-02-25,2024-01-22,Consents Lead
PRJ00011,Resource Plan,In Progress,0.49,2024-04-09,2024-03-04,Construction Manager
PRJ00012,Permits & Consents,Complete,1.0,2026-10-08,2026-01-18,HSE Lead
PRJ00012,Land Access,At Risk,0.25,2026-08-19,2026-01-18,Commercial Manager
PRJ00012,Design Maturity,In Progress,0.37,2026-08-17,2026-01-18,Programme Controls
PRJ00012,Procurement,In Progress,0.4,2026-10-07,2026-01-18,HSE Lead
PRJ00012,Contractor Mobilisation,In Progress,0.65,2026-09-16,2026-01-18,HSE Lead
PRJ00012,Outage Plan,In Progress,0.31,2026-08-03,2026-01-18,Programme Controls
PRJ00012,Stakeholder Engagement,Not Started,0.0,2026-09-11,2026-01-18,Stakeholder Manager
PRJ00012,Safety & Compliance,In Progress,0.28,2026-10-02,2026-01-18,Construction Manager
PRJ00012,Environmental,Complete,1.0,2026-09-05,2026-01-18,Programme Controls
PRJ00012,Resource Plan,Complete,1.0,2026-09-30,2026-01-18,PMO Lead
PRJ00013,Permits & Consents,In Progress,0.33,2027-01-10,2026-01-18,Construction Manager
PRJ00013,Land Access,Complete,1.0,2027-02-22,2026-01-18,Commercial Manager
PRJ00013,Design Maturity,Complete,1.0,2027-01-16,2026-01-18,Commercial Manager
PRJ00013,Procurement,At Risk,0.5,2027-01-12,2026-01-18,PMO Lead
PRJ00013,Contractor Mobilisation,In Progress,0.23,2027-02-09,2026-01-18,Stakeholder Manager
PRJ00013,Outage Plan,Complete,1.0,2027-03-02,2026-01-18,PMO Lead
PRJ00013,Stakeholder Engagement,In Progress,0.68,2027-02-19,2026-01-18,Engineering Manager
PRJ00013,Safety & Compliance,In Progress,0.49,2027-03-02,2026-01-18,Stakeholder Manager
PRJ00013,Environmental,In Progress,0.38,2027-02-06,2026-01-18,Programme Controls
PRJ00013,Resource Plan,In Progress,0.34,2027-02-07,2026-01-18,Construction Manager
PRJ00014,Permits & Consents,Not Started,0.0,2026-06-21,2026-01-18,Engineering Manager
PRJ00014,Land Access,Complete,1.0,2026-07-19,2026-01-18,Consents Lead
PRJ00014,Design Maturity,At Risk,0.42,2026-06-16,2026-01-18,Consents Lead
PRJ00014,Procurement,In Progress,0.34,2026-06-26,2026-01-18,HSE Lead
PRJ00014,Contractor Mobilisation,In Progress,0.59,2026-06-18,2026-01-18,PMO Lead
PRJ00014,Outage Plan,Complete,1.0,2026-07-18,2026-01-18,Programme Controls
PRJ00014,Stakeholder Engagement,At Risk,0.25,2026-07-04,2026-01-18,Commercial Manager
PRJ00014,Safety & Compliance,Complete,1.0,2026-06-02,2026-01-18,HSE Lead
PRJ00014,Environmental,In Progress,0.47,2026-07-20,2026-01-18,Consents Lead
PRJ00014,Resource Plan,At Risk,0.4,2026-05-24,2026-01-18,Commercial Manager
PRJ00015,Permits & Consents,Complete,1.0,2024-05-17,2024-05-12,Construction Manager
PRJ00015,Land Access,Not Started,0.0,2024-05-28,2024-04-25,Commercial Manager
PRJ00015,Design Maturity,Not Started,0.0,2024-04-24,2024-05-06,Construction Manager
PRJ00015,Procurement,At Risk,0.59,2024-04-17,2024-04-14,Consents Lead
PRJ00015,Contractor Mobilisation,In Progress,0.64,2024-05-06,2024-04-18,Programme Controls
PRJ00015,Outage Plan,In Progress,0.6,2024-06-06,2024-06-09,Construction Manager
PRJ00015,Stakeholder Engagement,At Risk,0.22,2024-05-12,2024-05-07,PMO Lead
PRJ00015,Safety & Compliance,In Progress,0.71,2024-05-16,2024-05-28,Programme Controls
PRJ00015,Environmental,Complete,1.0,2024-05-08,2024-04-29,Engineering Manager
PRJ00015,Resource Plan,Complete,1.0,2024-06-08,2024-06-05,Stakeholder Manager
PRJ00016,Permits & Consents,In Progress,0.48,2026-09-30,2026-01-18,Engineering Manager
PRJ00016,Land Access,Complete,1.0,2026-07-25,2026-01-18,HSE Lead
PRJ00016,Design Maturity,In Progress,0.4,2026-08-15,2026-01-18,HSE Lead
PRJ00016,Procurement,In Progress,0.63,2026-09-14,2026-01-18,Construction Manager
PRJ00016,Contractor Mobilisation,Complete,1.0,2026-08-01,2026-01-18,PMO Lead
PRJ00016,Outage Plan,Complete,1.0,2026-09-02,2026-01-18,Consents Lead
PRJ00016,Stakeholder Engagement,Complete,1.0,2026-09-03,2026-01-18,Stakeholder Manager
PRJ00016,Safety & Compliance,Complete,1.0,2026-08-28,2026-01-18,PMO Lead
PRJ00016,Environmental,Complete,1.0,2026-08-14,2026-01-18,Programme Controls
PRJ00016,Resource Plan,In Progress,0.39,2026-07-26,2026-01-18,Engineering Manager
PRJ00017,Permits & Consents,In Progress,0.38,2026-07-13,2026-01-18,Construction Manager
PRJ00017,Land Access,Complete,1.0,2026-07-06,2026-01-18,Engineering Manager
PRJ00017,Design Maturity,In Progress,0.22,2026-07-08,2026-01-18,Construction Manager
PRJ00017,Procurement,Complete,1.0,2026-06-22,2026-01-18,Commercial Manager
PRJ00017,Contractor Mobilisation,Complete,1.0,2026-07-08,2026-01-18,HSE Lead
PRJ00017,Outage Plan,In Progress,0.55,2026-07-05,2026-01-18,HSE Lead
PRJ00017,Stakeholder Engagement,At Risk,0.17,2026-07-24,2026-01-18,Stakeholder Manager
PRJ00017,Safety & Compliance,Complete,1.0,2026-08-27,2026-01-18,Commercial Manager
PRJ00017,Environmental,Complete,1.0,2026-06-27,2026-01-18,PMO Lead
PRJ00017,Resource Plan,Not Started,0.0,2026-07-20,2026-01-18,Engineering Manager
PRJ00018,Permits & Consents,At Risk,0.28,2025-08-28,2025-09-02,Commercial Manager
PRJ00018,Land Access,Complete,1.0,2025-10-15,2025-10-10,PMO Lead
PRJ00018,Design Maturity,Not Started,0.0,2025-09-11,2025-09-07,Programme Controls
PRJ00018,Procurement,In Progress,0.38,2025-08-16,2025-08-05,Programme Controls
PRJ00018,Contractor Mobilisation,In Progress,0.36,2025-08-18,2025-08-16,Engineering Manager
PRJ00018,Outage Plan,Not Started,0.0,2025-09-16,2025-08-19,HSE Lead
PRJ00018,Stakeholder Engagement,Complete,1.0,2025-10-01,2025-10-14,HSE Lead
PRJ00018,Safety & Compliance,In Progress,0.25,2025-08-29,2025-08-25,Commercial Manager
PRJ00018,Environmental,In Progress,0.53,2025-09-13,2025-09-04,Commercial Manager
PRJ00018,Resource Plan,Not Started,0.0,2025-08-17,2025-07-27,HSE Lead
PRJ00019,Permits & Consents,Complete,1.0,2023-11-21,2023-12-06,Commercial Manager
PRJ00019,Land Access,In Progress,0.54,2023-12-22,2023-11-23,HSE Lead
PRJ00019,Design Maturity,In Progress,0.63,2023-11-11,2023-11-25,HSE Lead
PRJ00019,Procurement,Not Started,0.0,2023-11-20,2023-12-05,Stakeholder Manager
PRJ00019,Contractor Mobilisation,In Progress,0.61,2024-01-04,2023-12-22,Programme Controls
PRJ00019,Outage Plan,In Progress,0.77,2023-12-06,2023-12-04,Engineering Manager
PRJ00019,Stakeholder Engagement,Complete,1.0,2023-11-11,2023-10-12,Commercial Manager
PRJ00019,Safety & Compliance,Not Started,0.0,2024-01-14,2024-01-07,Commercial Manager
PRJ00019,Environmental,In Progress,0.6,2023-11-28,2023-11-08,Engineering Manager
PRJ00019,Resource Plan,Not Started,0.0,2024-01-12,2024-01-06,Commercial Manager
PRJ00020,Permits & Consents,Complete,1.0,2027-05-11,2026-01-18,HSE Lead
PRJ00020,Land Access,Complete,1.0,2027-04-20,2026-01-18,Programme Controls
PRJ00020,Design Maturity,Complete,1.0,2027-05-24,2026-01-18,Construction Manager
PRJ00020,Procurement,In Progress,0.49,2027-04-06,2026-01-18,Construction Manager
PRJ00020,Contractor Mobilisation,Not Started,0.0,2027-05-21,2026-01-18,Programme Controls
PRJ00020,Outage Plan,In Progress,0.53,2027-04-25,2026-01-18,HSE Lead
PRJ00020,Stakeholder Engagement,Complete,1.0,2027-05-07,2026-01-18,Stakeholder Manager
PRJ00020,Safety & Compliance,Complete,1.0,2027-05-09,2026-01-18,Stakeholder Manager
PRJ00020,Environmental,In Progress,0.35,2027-04-27,2026-01-18,Consents Lead
PRJ00020,Resource Plan,In Progress,0.49,2027-05-06,2026-01-18,Programme Controls
PRJ00021,Permits & Consents,Complete,1.0,2025-07-30,2025-07-13,Commercial Manager
PRJ00021,Land Access,In Progress,0.36,2025-08-12,2025-07-18,HSE Lead
PRJ00021,Design Maturity,Complete,1.0,2025-07-05,2025-07-13,Construction Manager
PRJ00021,Procurement,In Progress,0.75,2025-08-16,2025-08-09,PMO Lead
PRJ00021,Contractor Mobilisation,Complete,1.0,2025-07-16,2025-07-18,Construction Manager
PRJ00021,Outage Plan,Not Started,0.0,2025-07-21,2025-08-03,Programme Controls
PRJ00021,Stakeholder Engagement,In Progress,0.76,2025-07-06,2025-07-21,Engineering Manager
PRJ00021,Safety & Compliance,At Risk,0.35,2025-07-24,2025-07-16,Commercial Manager
PRJ00021,Environmental,In Progress,0.25,2025-08-19,2025-08-24,Engineering Manager
PRJ00021,Resource Plan,At Risk,0.4,2025-07-10,2025-07-13,HSE Lead
PRJ00022,Permits & Consents,In Progress,0.33,2023-12-02,2023-11-13,Engineering Manager
PRJ00022,Land Access,In Progress,0.25,2023-12-23,2023-12-13,Programme Controls
PRJ00022,Design Maturity,At Risk,0.19,2024-01-09,2023-12-29,Consents Lead
PRJ00022,Procurement,Complete,1.0,2024-01-29,2024-02-12,Stakeholder Manager
PRJ00022,Contractor Mobilisation,In Progress,0.3,2024-02-05,2024-01-25,Consents Lead
PRJ00022,Outage Plan,In Progress,0.45,2023-12-27,2023-12-02,Stakeholder Manager
PRJ00022,Stakeholder Engagement,In Progress,0.55,2024-01-26,2024-01-31,Commercial Manager
PRJ00022,Safety & Compliance,In Progress,0.39,2024-01-08,2023-12-13,Commercial Manager
PRJ00022,Environmental,At Risk,0.5,2023-12-26,2023-12-24,Engineering Manager
PRJ00022,Resource Plan,Not Started,0.0,2024-01-01,2023-12-10,Programme Controls
PRJ00023,Permits & Consents,In Progress,0.34,2024-03-25,2024-02-21,Consents Lead
PRJ00023,Land Access,In Progress,0.41,2024-04-29,2024-05-03,Engineering Manager
PRJ00023,Design Maturity,At Risk,0.47,2024-04-10,2024-04-02,PMO Lead
PRJ00023,Procurement,Complete,1.0,2024-03-30,2024-03-24,Construction Manager
PRJ00023,Contractor Mobilisation,Complete,1.0,2024-04-09,2024-04-06,Stakeholder Manager
PRJ00023,Outage Plan,Not Started,0.0,2024-04-26,2024-05-07,Stakeholder Manager
PRJ00023,Stakeholder Engagement,In Progress,0.79,2024-04-04,2024-04-11,Stakeholder Manager
PRJ00023,Safety & Compliance,Complete,1.0,2024-05-16,2024-04-30,Programme Controls
PRJ00023,Environmental,In Progress,0.21,2024-05-09,2024-05-07,Engineering Manager
PRJ00023,Resource Plan,At Risk,0.54,2024-03-19,2024-03-31,Engineering Manager
PRJ00024,Permits & Consents,Complete,1.0,2024-12-27,2024-11-22,Construction Manager
PRJ00024,Land Access,In Progress,0.41,2025-02-02,2025-02-10,Construction Manager
PRJ00024,Design Maturity,In Progress,0.48,2024-12-16,2024-12-12,Construction Manager
PRJ00024,Procurement,At Risk,0.44,2024-12-08,2024-12-05,Programme Controls
PRJ00024,Contractor Mobilisation,In Progress,0.29,2025-01-21,2025-01-17,HSE Lead
PRJ00024,Outage Plan,Complete,1.0,2024-11-29,2024-11-13,Consents Lead
PRJ00024,Stakeholder Engagement,Complete,1.0,2024-11-27,2024-11-10,Engineering Manager
PRJ00024,Safety & Compliance,In Progress,0.76,2025-01-17,2025-01-21,Consents Lead
PRJ00024,Environmental,In Progress,0.26,2024-12-03,2024-12-05,HSE Lead
PRJ00024,Resource Plan,In Progress,0.63,2024-12-07,2024-11-24,Commercial Manager
PRJ00025,Permits & Consents,In Progress,0.36,2024-02-20,2024-01-12,Stakeholder Manager
PRJ00025,Land Access,Not Started,0.0,2024-01-05,2023-11-29,Consents Lead
PRJ00025,Design Maturity,In Progress,0.45,2024-02-17,2024-02-07,Commercial Manager
PRJ00025,Procurement,Not Started,0.0,2023-12-22,2023-12-01,HSE Lead
PRJ00025,Contractor Mobilisation,Complete,1.0,2024-01-15,2023-12-23,Engineering Manager
PRJ00025,Outage Plan,Complete,1.0,2024-02-25,2024-02-25,Construction Manager
PRJ00025,Stakeholder Engagement,In Progress,0.49,2024-01-27,2024-01-26,PMO Lead
PRJ00025,Safety & Compliance,Complete,1.0,2024-02-16,2024-02-07,Programme Controls
PRJ00025,Environmental,In Progress,0.27,2023-12-21,2024-01-09,Programme Controls
PRJ00025,Resource Plan,At Risk,0.21,2023-12-30,2023-11-26,Engineering Manager
PRJ00026,Permits & Consents,In Progress,0.7,2025-03-08,2025-02-18,Construction Manager
PRJ00026,Land Access,Complete,1.0,2025-01-12,2025-01-05,Stakeholder Manager
PRJ00026,Design Maturity,Not Started,0.0,2025-02-06,2025-01-29,Programme Controls
PRJ00026,Procurement,At Risk,0.39,2025-01-18,2025-01-18,HSE Lead
PRJ00026,Contractor Mobilisation,Complete,1.0,2025-03-10,2025-02-14,Engineering Manager
PRJ00026,Outage Plan,Not Started,0.0,2025-02-14,2025-02-24,Engineering Manager
PRJ00026,Stakeholder Engagement,Not Started,0.0,2025-02-10,2025-01-02,Engineering Manager
PRJ00026,Safety & Compliance,Complete,1.0,2025-03-08,2025-03-21,Engineering Manager
PRJ00026,Environmental,In Progress,0.65,2025-02-24,2025-01-20,PMO Lead
PRJ00026,Resource Plan,In Progress,0.48,2025-02-24,2025-02-07,Commercial Manager
PRJ00027,Permits & Consents,At Risk,0.49,2025-07-15,2025-07-11,Engineering Manager
PRJ00027,Land Access,In Progress,0.71,2025-06-10,2025-06-14,Stakeholder Manager
PRJ00027,Design Maturity,In Progress,0.64,2025-07-30,2025-07-09,Engineering Manager
PRJ00027,Procurement,Complete,1.0,2025-08-08,2025-07-07,Stakeholder Manager
PRJ00027,Contractor Mobilisation,Complete,1.0,2025-06-02,2025-06-12,Programme Controls
PRJ00027,Outage Plan,Complete,1.0,2025-07-23,2025-08-11,Programme Controls
PRJ00027,Stakeholder Engagement,In Progress,0.33,2025-07-07,2025-06-05,Construction Manager
PRJ00027,Safety & Compliance,Complete,1.0,2025-07-27,2025-08-10,Commercial Manager
PRJ00027,Environmental,Not Started,0.0,2025-08-10,2025-07-14,Commercial Manager
PRJ00027,Resource Plan,In Progress,0.42,2025-07-28,2025-06-30,PMO Lead
PRJ00028,Permits & Consents,Complete,1.0,2027-01-29,2026-01-18,Construction Manager
PRJ00028,Land Access,At Risk,0.31,2027-02-19,2026-01-18,Stakeholder Manager
PRJ00028,Design Maturity,Complete,1.0,2027-01-10,2026-01-18,HSE Lead
PRJ00028,Procurement,At Risk,0.51,2027-01-26,2026-01-18,Stakeholder Manager
PRJ00028,Contractor Mobilisation,In Progress,0.52,2027-03-06,2026-01-18,HSE Lead
PRJ00028,Outage Plan,Complete,1.0,2027-01-12,2026-01-18,Stakeholder Manager
PRJ00028,Stakeholder Engagement,Complete,1.0,2027-01-07,2026-01-18,Consents Lead
PRJ00028,Safety & Compliance,In Progress,0.25,2027-02-02,2026-01-18,Commercial Manager
PRJ00028,Environmental,In Progress,0.66,2027-03-07,2026-01-18,Programme Controls
PRJ00028,Resource Plan,Complete,1.0,2027-02-04,2026-01-18,Stakeholder Manager
PRJ00029,Permits & Consents,In Progress,0.59,2024-07-14,2024-06-20,Engineering Manager
PRJ00029,Land Access,At Risk,0.44,2024-06-21,2024-07-10,Stakeholder Manager
PRJ00029,Design Maturity,Complete,1.0,2024-06-02,2024-05-26,PMO Lead
PRJ00029,Procurement,In Progress,0.44,2024-07-17,2024-07-25,HSE Lead
PRJ00029,Contractor Mobilisation,In Progress,0.5,2024-06-24,2024-06-27,PMO Lead
PRJ00029,Outage Plan,In Progress,0.4,2024-05-27,2024-04-27,Construction Manager
PRJ00029,Stakeholder Engagement,Not Started,0.0,2024-05-21,2024-05-22,Engineering Manager
PRJ00029,Safety & Compliance,At Risk,0.47,2024-06-08,2024-05-26,Engineering Manager
PRJ00029,Environmental,Not Started,0.0,2024-06-04,2024-06-10,Consents Lead
PRJ00029,Resource Plan,Not Started,0.0,2024-06-11,2024-06-02,PMO Lead
PRJ00030,Permits & Consents,In Progress,0.26,2025-12-16,2025-12-13,Engineering Manager
PRJ00030,Land Access,Complete,1.0,2025-11-24,2025-10-16,Commercial Manager
PRJ00030,Design Maturity,In Progress,0.24,2025-12-30,2025-12-06,Programme Controls
PRJ00030,Procurement,In Progress,0.3,2025-12-04,2025-12-15,Consents Lead
PRJ00030,Contractor Mobilisation,In Progress,0.21,2025-12-04,2025-11-26,HSE Lead
PRJ00030,Outage Plan,In Progress,0.75,2025-12-18,2025-11-30,Consents Lead
PRJ00030,Stakeholder Engagement,Complete,1.0,2025-12-04,2025-10-29,Programme Controls
PRJ00030,Safety & Compliance,At Risk,0.48,2025-12-12,2025-12-06,HSE Lead
PRJ00030,Environmental,Not Started,0.0,2025-11-13,2025-11-01,Stakeholder Manager
PRJ00030,Resource Plan,In Progress,0.67,2025-12-09,2025-11-29,Commercial Manager
PRJ00031,Permits & Consents,Complete,1.0,2027-03-14,2026-01-18,Engineering Manager
PRJ00031,Land Access,In Progress,0.46,2027-04-17,2026-01-18,HSE Lead
PRJ00031,Design Maturity,In Progress,0.35,2027-04-02,2026-01-18,Construction Manager
PRJ00031,Procurement,In Progress,0.22,2027-04-22,2026-01-18,HSE Lead
PRJ00031,Contractor Mobilisation,At Risk,0.28,2027-03-26,2026-01-18,HSE Lead
PRJ00031,Outage Plan,Complete,1.0,2027-04-02,2026-01-18,HSE Lead
PRJ00031,Stakeholder Engagement,Complete,1.0,2027-03-28,2026-01-18,Construction Manager
PRJ00031,Safety & Compliance,In Progress,0.35,2027-02-14,2026-01-18,Stakeholder Manager
PRJ00031,Environmental,Complete,1.0,2027-04-11,2026-01-18,HSE Lead
PRJ00031,Resource Plan,Complete,1.0,2027-02-21,2026-01-18,Engineering Manager
