ProjectID,ProjectName,City,Region,Workstream,ProjectType,Complexity,CurrentPhase,RAGStatus,BaselineStartDate,BaselineEndDate,BaselineBudgetEUR,PrimaryDelayReason,PrimaryCostDriver,Sponsor,ProjectManager,ReadinessGateTargetDate
PRJ00085 ,Reactive Compensation – Dublin – New Build 85,Dublin,Dublin,Reactive Compensation,New Build,Low,Planning & Consents,Green,24-02-2026,15-01-2028,23286492,Outage Window,Scope Change,Programme Sponsor A,PM - Hayes,23-10-2026
PRJ 00086,Overhead Line – Limerick – Upgrade 86,Limerick,South,Overhead Line,Upgrade,Low,Construction,Green,04-11-2025,24-12-2027,39451248,Permits/Consents,Contractor Claims,Programme Sponsor A,PM - Nolan,04-08-2026
prj00087,Grid Automation – Tullamore – New Build 87,Tullamore,Midlands,Grid Automation,New Build,High,Design,Green,11-08-2023,22-05-2027,19457824,Contractor Capacity,Contractor Claims,Programme Sponsor A,PM - Kelly,05-12-2024
 PRJ00088 ,Overhead Line – Limerick – Reinforcement 88,Limerick,South,Overhead Line,Reinforcement,Low,Design,Green,01-05-2025,17-12-2027,45912174,Land Access/Wayleaves,Contractor Claims,Programme Sponsor B,PM - Keane,02-04-2026
PRJ00089,Interconnector Onshore Works – Cork – New Build 89,Cork,South,Interconnector Onshore Works,New Build,Medium,Planning & Consents,Green,19-07-2025,01-10-2028,69213060,Land Access/Wayleaves,Productivity Delay,Infrastructure Director,PM - Murphy,01-09-2026
PRJ00090,Interconnector Onshore Works – Ballina – New Build 90,Ballina,West,Interconnector Onshore Works,New Build,Medium,Construction,Green,01-07-2023,15-02-2026,85985619,Stakeholder/Community,Inflation/Materials,Programme Sponsor A,PM - Byrne,01-06-2024
Prj00091,Interconnector Onshore Works – Ballina – New Build 91,Ballina,West,Interconnector Onshore Works,New Build,Medium,Commissioning,Green,19-03-2023,02-05-2026,69438757,Procurement/Long Lead,Inflation/Materials,Interconnector Sponsor,PM - Keane,20-04-2024
PRJ 00092,Interconnector Onshore Works – Tallaght – Upgrade 92,Tallaght,Dublin,Interconnector Onshore Works,Upgrade,Medium,Design,Green,06-12-2023,26-10-2025,71059033,Procurement/Long Lead,Inflation/Materials,Programme Sponsor A,PM - Nolan,03-08-2024
 PRJ00093 ,Substation Build – Sligo – Reinforcement 93,Sligo,Northwest,Substation Build,Reinforcement,Low,Design,Green,10-05-2024,01-03-2026,61155059,Permits/Consents,Productivity Delay,Programme Sponsor B,PM - Keane,27-12-2024
PRJ00094,Underground Cable – Galway – New Build 94,Galway,West,Underground Cable,New Build,Low,Design,Green,10-03-2026,21-08-2029,49035572,Design Rework,Scope Change,Programme Sponsor A,PM - Nolan,25-05-2027
PRJ-00095,Reactive Compensation – Waterford – New Build 95,Waterford,South,Reactive Compensation,New Build,Medium,Planning & Consents,Amber,30-03-2025,08-05-2029,18465343,Stakeholder/Community,Design Rework,Infrastructure Director,PM - Hayes,06-09-2026
PRJ00096,Underground Cable – Waterford – New Build 96,Waterford,South,Underground Cable,New Build,High,Design,Green,19-04-2026,27-07-2030,82114498,Design Rework,Design Rework,Interconnector Sponsor,PM - Murphy,17-10-2027
PRJ 00097,Underground Cable – Longford – Upgrade 97,Longford,Midlands,Underground Cable,Upgrade,Medium,Construction,Green,30-03-2023,17-06-2025,53740727,Design Rework,Inflation/Materials,Onshore Delivery Lead,PM - Nolan,07-01-2024
PRJ00098,Substation Upgrade – Ballina – New Build 98,Ballina,West,Substation Upgrade,New Build,Medium,Planning & Consents,Green,11-06-2023,23-09-2026,36495440,Permits/Consents,Scope Change,Infrastructure Director,PM - Keane,04-08-2024
 PRJ00099 ,Substation Build – Blanchardstown – Reinforcement 99,Blanchardstown,Dublin,Substation Build,Reinforcement,High,Construction,Green,23-09-2024,11-01-2027,69595394,Land Access/Wayleaves,Design Rework,Programme Sponsor A,PM - Walsh,13-07-2025
PRJ_00100,Grid Automation – Limerick – New Build 100,Limerick,South,Grid Automation,New Build,Low,Planning & Consents,Green,25-08-2024,14-10-2026,16065308,Procurement/Long Lead,Productivity Delay,Infrastructure Director,PM - O'Rourke,25-05-2025
prj00101,Substation Build – Galway – Upgrade 101,Galway,West,Substation Build,Upgrade,Medium,Procurement,Green,04-11-2024,24-03-2027,66937679,Design Rework,Design Rework,Onshore Delivery Lead,PM - Byrne,04-09-2025
PRJ_00102,Reactive Compensation – Tallaght – Upgrade 102,Tallaght,Dublin,Reactive Compensation,Upgrade,High,Construction,Green,31-07-2024,11-02-2028,17363510,Permits/Consents,Scope Change,Programme Sponsor A,PM - Keane,25-10-2025
PRJ_00103,Substation Build – Limerick – Upgrade 103,Limerick,South,Substation Build,Upgrade,Medium,Design,Green,20-11-2023,04-12-2026,52697807,Permits/Consents,Contractor Claims,Infrastructure Director,PM - Murphy,12-12-2024
PRJ00104,Overhead Line – Wexford – New Build 104,Wexford,East,Overhead Line,New Build,Medium,Construction,Green,31-12-2023,13-06-2027,54677271,Outage Window,Inflation/Materials,Programme Sponsor B,PM - Ryan,16-03-2025
PRJ 00105,Substation Build – Clonmel – Reinforcement 105,Clonmel,South,Substation Build,Reinforcement,Medium,Construction,Green,13-02-2023,03-04-2025,64803135,Permits/Consents,Scope Change,Onshore Delivery Lead,PM - Ryan,13-11-2023
prj00106,Reactive Compensation – Swords – Upgrade 106,Swords,Dublin,Reactive Compensation,Upgrade,Medium,Construction,Amber,27-06-2025,11-06-2028,16799095,Design Rework,Productivity Delay,Programme Sponsor A,PM - Hayes,10-07-2026
PRJ 00107,Substation Upgrade – Limerick – Reinforcement 107,Limerick,South,Substation Upgrade,Reinforcement,High,Design,Green,05-07-2024,21-01-2027,22179040,Procurement/Long Lead,Contractor Claims,Programme Sponsor A,PM - Hayes,26-05-2025
PRJ00108 ,Overhead Line – Castlebar – New Build 108,Castlebar,West,Overhead Line,New Build,Medium,Planning & Consents,Green,12-04-2023,21-01-2027,51378638,Stakeholder/Community,Design Rework,Onshore Delivery Lead,PM - Ryan,06-08-2024
Prj00109,Substation Upgrade – Limerick – Upgrade 109,Limerick,South,Substation Upgrade,Upgrade,Medium,Construction,Amber,20-09-2025,12-07-2027,23955929,Permits/Consents,Inflation/Materials,Interconnector Sponsor,PM - Ryan,09-05-2026
 PRJ00110 ,Overhead Line – Dundalk – Upgrade 110,Dundalk,East,Overhead Line,Upgrade,Medium,Design,Amber,13-01-2023,28-03-2026,49538754,Design Rework,Inflation/Materials,Programme Sponsor B,PM - Kelly,26-02-2024
PRJ00111,Underground Cable – Waterford – Reinforcement 111,Waterford,South,Underground Cable,Reinforcement,Medium,Construction,Amber,11-04-2024,26-04-2027,62758547,Outage Window,Scope Change,Programme Sponsor A,PM - Keane,04-05-2025
PRJ-00112,Substation Build – Bray – New Build 112,Bray,East,Substation Build,New Build,Medium,Construction,Green,07-03-2026,24-06-2028,58570556,Design Rework,Contractor Claims,Programme Sponsor A,PM - Ryan,25-12-2026
PRJ 00113,Grid Automation – Waterford – Reinforcement 113,Waterford,South,Grid Automation,Reinforcement,Low,Procurement,Green,22-03-2024,08-10-2026,12923143,Land Access/Wayleaves,Contractor Claims,Programme Sponsor B,PM - Nolan,10-02-2025
