RecordType,RecordID,ProjectID,Category,Title,Probability,ImpactEUR,ExposureEUR,SeverityBand,Status,OwnerRole,CreatedDate,LastUpdatedDate,TargetCloseDate,ClosedDate,RootCause,Notes
Risk,RSK000015,PRJ00002,Regulatory,Regulatory risk – Design Rework,0.32,5811440,1862801,Low,Open,Construction Manager,2024-03-28,2024-04-23,,,,
Risk,RSK000016,PRJ00002,Regulatory,Regulatory risk – Design Rework,0.45,4898150,2223480,Medium,Open,Programme Controls,2024-01-08,2024-05-24,,,,
Risk,RSK000017,PRJ00002,Environmental,Environmental risk – Design Rework,0.56,4596189,2586320,Medium,Open,PMO Lead,2023-11-29,2024-03-04,,,,
Risk,RSK000018,PRJ00002,Schedule,Schedule risk – Design Rework,0.69,2019903,1394807,Low,Open,Stakeholder Manager,2023-04-22,2023-06-08,,,,
Risk,RSK000019,PRJ00002,Cost,Cost risk – Design Rework,0.61,2601540,1598753,Low,Mitigating,PMO Lead,2024-02-29,2024-05-15,,,,
Risk,RSK000020,PRJ00002,Stakeholder,Stakeholder risk – Design Rework,0.7,12136229,8508445,High,Mitigating,PMO Lead,2024-03-28,2024-07-09,,,,
Risk,RSK000021,PRJ00002,Regulatory,Regulatory risk – Design Rework,0.41,5621129,2328321,Medium,Closed,Commercial Manager,2024-10-04,2024-10-24,,2024-12-20,,
Risk,RSK000022,PRJ00002,Schedule,Schedule risk – Design Rework,0.74,3805852,2816415,Medium,Open,PMO Lead,2025-01-11,2025-01-18,,,,
Risk,RSK000023,PRJ00002,Environmental,Environmental risk – Design Rework,0.63,8224094,5166043,Medium,Closed,Programme Controls,2025-09-14,2025-10-15,,2025-10-31,,
Risk,RSK000024,PRJ00002,Cost,Cost risk – Design Rework,0.52,8077786,4232230,Medium,Mitigating,Programme Controls,2024-01-25,2024-02-29,,,,
Risk,RSK000025,PRJ00002,Technical,Technical risk – Design Rework,0.79,7943198,6261339,Medium,Closed,PMO Lead,2025-07-19,2025-12-23,,2026-01-18,,
Risk,RSK000026,PRJ00002,Technical,Technical risk – Design Rework,0.77,9465437,7251394,Medium,Closed,Consents Lead,2025-10-24,2025-10-31,,2025-12-28,,
Issue,ISS000011,PRJ00002,Design,Design issue – Productivity Delay,,,,Minor,In Progress,HSE Lead,2024-01-25,2024-03-21,2024-02-24,,Productivity Delay,
Issue,ISS000012,PRJ00002,Design,Design issue – Land Access/Wayleaves,,,,Critical,Closed,Stakeholder Manager,2023-03-21,2023-06-05,2023-07-01,2023-07-23,Land Access/Wayleaves,
Issue,ISS000013,PRJ00002,Procurement,Procurement issue – Land Access/Wayleaves,,,,Critical,Closed,Engineering Manager,2024-08-30,2024-09-28,2024-12-31,2024-12-31,Land Access/Wayleaves,
Issue,ISS000014,PRJ00002,Data/Reporting,Data/Reporting issue – Procurement/Long Lead,,,,Minor,Blocked,Commercial Manager,2023-01-03,2023-03-09,2023-03-22,,Procurement/Long Lead,
Issue,ISS000015,PRJ00002,Data/Reporting,Data/Reporting issue – Contractor Claims,,,,Minor,Open,Stakeholder Manager,2025-04-04,2025-05-09,2025-08-22,,Contractor Claims,
Issue,ISS000016,PRJ00002,Design,Design issue – Scope Change,,,,Minor,Closed,Consents Lead,2023-11-15,2024-01-18,2024-03-08,2024-03-08,Scope Change,
Issue,ISS000017,PRJ00002,Procurement,Procurement issue – Land Access/Wayleaves,,,,Major,Open,Construction Manager,2024-06-30,2024-07-20,2025-03-05,,Land Access/Wayleaves,
Issue,ISS000018,PRJ00002,Stakeholder,Stakeholder issue – Scope Change,,,,Minor,Closed,PMO Lead,2024-03-18,2024-05-11,2024-09-13,2024-09-01,Scope Change,
Issue,ISS000019,PRJ00002,Design,Design issue – Permits/Consents,,,,Critical,In Progress,Programme Controls,2024-11-27,2024-12-26,2025-04-28,,Permits/Consents,
Risk,RSK000027,PRJ00003,Supply Chain,Supply Chain risk – Design Rework,0.28,6329056,1791608,Low,Closed,Programme Controls,2024-04-23,2024-07-11,,2024-09-01,,
Risk,RSK000028,PRJ00003,Stakeholder,Stakeholder risk – Design Rework,0.28,3778732,1064041,Low,Mitigating,Consents Lead,2023-04-09,2023-08-10,,,,
Risk,RSK000029,PRJ00003,Technical,Technical risk – Design Rework,0.44,8360486,3688405,Medium,Open,HSE Lead,2025-11-04,2026-01-18,,,,
Risk,RSK000030,PRJ00003,Environmental,Environmental risk – Design Rework,0.52,4910960,2572513,Medium,Open,Construction Manager,2024-04-01,2024-09-26,,,,
Risk,RSK000031,PRJ00003,Cost,Cost risk – Design Rework,0.07,9910896,729512,Low,Mitigating,Construction Manager,2024-06-24,2024-08-31,,,,
Risk,RSK000032,PRJ00003,Stakeholder,Stakeholder risk – Design Rework,0.22,2946229,650433,Low,Open,Stakeholder Manager,2024-11-20,2025-03-14,,,,
Risk,RSK000033,PRJ00003,Supply Chain,Supply Chain risk – Design Rework,0.39,5573811,2161780,Medium,Closed,Commercial Manager,2025-06-27,2025-08-26,,2025-09-19,,
Risk,RSK000034,PRJ00003,Supply Chain,Supply Chain risk – Design Rework,0.35,6913537,2448849,Medium,Open,PMO Lead,2024-10-14,2025-03-05,,,,
Risk,RSK000035,PRJ00003,Regulatory,Regulatory risk – Design Rework,0.16,5288645,865509,Low,Closed,Consents Lead,2023-04-06,2023-07-06,,2023-07-07,,
Risk,RSK000036,PRJ00003,Technical,Technical risk – Design Rework,0.36,3526353,1271460,Low,Mitigating,HSE Lead,2025-01-19,2025-05-22,,,,
Risk,RSK000037,PRJ00003,Regulatory,Regulatory risk – Design Rework,0.16,8817215,1425708,Low,Open,Construction Manager,2024-05-21,2024-11-13,,,,
Risk,RSK000038,PRJ00003,Cost,Cost risk – Design Rework,0.27,4167515,1132834,Low,Mitigating,Commercial Manager,2024-05-17,2024-05-21,,,,
Risk,RSK000039,PRJ00003,Schedule,Schedule risk – Design Rework,0.44,9553243,4202899,Medium,Mitigating,PMO Lead,2024-02-12,2024-05-01,,,,
Risk,RSK000040,PRJ00003,Schedule,Schedule risk – Design Rework,0.5,11646764,5860846,Medium,Closed,Commercial Manager,2025-07-25,2025-11-30,,2026-01-18,,
Issue,ISS000020,PRJ00003,Construction,Construction issue – Procurement/Long Lead,,,,Critical,Closed,Construction Manager,2023-04-03,2023-06-11,2023-09-01,2023-09-22,Procurement/Long Lead,
Issue,ISS000021,PRJ00003,Construction,Construction issue – Risk Realised,,,,Minor,Closed,Programme Controls,2023-05-03,2023-05-08,2023-07-12,2023-07-13,Risk Realised,
Issue,ISS000022,PRJ00003,Resourcing,Resourcing issue – Procurement/Long Lead,,,,Critical,Closed,Consents Lead,2025-10-11,2025-11-30,2025-10-22,2025-10-28,Procurement/Long Lead,
Issue,ISS000023,PRJ00003,Data/Reporting,Data/Reporting issue – Permits/Consents,,,,Minor,Closed,Commercial Manager,2024-06-08,2024-07-14,2024-07-08,2024-07-17,Permits/Consents,
Issue,ISS000024,PRJ00003,Design,Design issue – Design Rework,,,,Critical,Closed,Commercial Manager,2023-11-03,2023-12-05,2023-12-25,2023-12-20,Design Rework,
Issue,ISS000025,PRJ00003,Design,Design issue – Permits/Consents,,,,Minor,In Progress,HSE Lead,2024-10-13,2024-11-03,2024-12-18,,Permits/Consents,
Issue,ISS000026,PRJ00003,Design,Design issue – Inflation/Materials,,,,Minor,In Progress,Consents Lead,2025-03-28,2025-04-17,2025-05-09,,Inflation/Materials,
Issue,ISS000027,PRJ00003,Design,Design issue – Inflation/Materials,,,,Minor,Closed,Consents Lead,2024-06-14,2024-06-23,2024-07-20,2024-08-08,Inflation/Materials,
Risk,RSK000041,PRJ00004,Schedule,Schedule risk – Procurement/Long Lead,0.52,3935117,2050944,Medium,Mitigating,Consents Lead,2023-01-23,2023-05-22,,,,
Risk,RSK000042,PRJ00004,Supply Chain,Supply Chain risk – Procurement/Long Lead,0.23,19449526,4418507,Medium,Closed,Commercial Manager,2025-12-13,2026-01-06,,2026-01-18,,
Risk,RSK000043,PRJ00004,Cost,Cost risk – Procurement/Long Lead,0.45,5771013,2617492,Medium,Mitigating,Programme Controls,2025-05-07,2025-08-20,,,,
Risk,RSK000044,PRJ00004,Schedule,Schedule risk – Procurement/Long Lead,0.33,2547201,850778,Low,Mitigating,Stakeholder Manager,2024-10-10,2024-10-20,,,,
Risk,RSK000045,PRJ00004,Regulatory,Regulatory risk – Procurement/Long Lead,0.67,3335735,2231772,Medium,Open,PMO Lead,2024-07-31,2024-11-08,,,,
Risk,RSK000046,PRJ00004,Technical,Technical risk – Procurement/Long Lead,0.59,5231107,3085109,Medium,Closed,Programme Controls,2023-10-19,2023-12-12,,2024-01-13,,
Risk,RSK000047,PRJ00004,Technical,Technical risk – Procurement/Long Lead,0.25,5249405,1292056,Low,Open,Consents Lead,2024-11-09,2025-01-11,,,,
Risk,RSK000048,PRJ00004,Technical,Technical risk – Procurement/Long Lead,0.12,6456421,767549,Low,Open,Engineering Manager,2024-02-13,2024-07-26,,,,
Risk,RSK000049,PRJ00004,Regulatory,Regulatory risk – Procurement/Long Lead,0.59,7382001,4335097,Medium,Mitigating,Consents Lead,2024-06-29,2024-12-02,,,,
Risk,RSK000050,PRJ00004,Technical,Technical risk – Procurement/Long Lead,0.62,3291083,2043997,Medium,Open,Construction Manager,2023-07-22,2023-12-19,,,,
Risk,RSK000051,PRJ00004,Stakeholder,Stakeholder risk – Procurement/Long Lead,0.65,2796765,1813945,Low,Closed,Commercial Manager,2023-07-05,2023-07-23,,2023-09-09,,
Risk,RSK000052,PRJ00004,Technical,Technical risk – Procurement/Long Lead,0.23,8941249,2089069,Medium,Open,Consents Lead,2025-01-26,2025-06-07,,,,
Risk,RSK000053,PRJ00004,Environmental,Environmental risk – Procurement/Long Lead,0.63,7605035,4813603,Medium,Open,Stakeholder Manager,2023-07-28,2023-07-28,,,,
Risk,RSK000054,PRJ00004,Cost,Cost risk – Procurement/Long Lead,0.17,10055234,1707511,Low,Open,Commercial Manager,2025-06-20,2025-08-01,,,,
Issue,ISS000028,PRJ00004,Governance,Governance issue – Stakeholder/Community,,,,Minor,Open,Consents Lead,2023-12-21,2024-01-16,2024-06-19,,Stakeholder/Community,
Issue,ISS000029,PRJ00004,Stakeholder,Stakeholder issue – Inflation/Materials,,,,Minor,Closed,PMO Lead,2023-05-11,2023-07-16,2023-10-01,2023-10-25,Inflation/Materials,
Issue,ISS000030,PRJ00004,Resourcing,Resourcing issue – Design Rework,,,,Minor,Closed,Stakeholder Manager,2024-08-17,2024-09-24,2024-12-08,2024-12-08,Design Rework,
Risk,RSK000055,PRJ00005,Supply Chain,Supply Chain risk – Contractor Capacity,0.2,4170249,836157,Low,Mitigating,Consents Lead,2023-01-27,2023-05-03,,,,
Risk,RSK000056,PRJ00005,Regulatory,Regulatory risk – Contractor Capacity,0.18,6366949,1124326,Low,Open,Programme Controls,2023-11-11,2024-04-13,,,,
Risk,RSK000057,PRJ00005,Regulatory,Regulatory risk – Contractor Capacity,0.31,6048237,1867374,Low,Mitigating,Engineering Manager,2025-12-26,2026-01-18,,,,
Risk,RSK000058,PRJ00005,Cost,Cost risk – Contractor Capacity,0.36,10732724,3838106,Medium,Open,HSE Lead,2023-04-27,2023-07-04,,,,
Risk,RSK000059,PRJ00005,Regulatory,Regulatory risk – Contractor Capacity,0.5,7912869,3930332,Medium,Open,Engineering Manager,2025-08-19,2025-10-20,,,,
Risk,RSK000060,PRJ00005,Regulatory,Regulatory risk – Contractor Capacity,0.4,8993591,3627161,Medium,Open,Consents Lead,2023-09-26,2023-11-14,,,,
Risk,RSK000061,PRJ00005,Cost,Cost risk – Contractor Capacity,0.09,8759031,829262,Low,Open,Programme Controls,2025-12-09,2026-01-18,,,,
Risk,RSK000062,PRJ00005,Schedule,Schedule risk – Contractor Capacity,0.28,5879622,1629219,Low,Open,Stakeholder Manager,2023-04-28,2023-08-10,,,,
Risk,RSK000063,PRJ00005,Safety,Safety risk – Contractor Capacity,0.11,4635652,527992,Low,Closed,Consents Lead,2025-07-20,2025-09-21,,2025-10-08,,
Risk,RSK000064,PRJ00005,Schedule,Schedule risk – Contractor Capacity,0.32,5838709,1888606,Low,Open,Commercial Manager,2023-09-14,2024-02-26,,,,
Issue,ISS000031,PRJ00005,Resourcing,Resourcing issue – FX/Imports,,,,Minor,Blocked,Commercial Manager,2024-06-13,2024-07-23,2024-11-28,,FX/Imports,
Issue,ISS000032,PRJ00005,Procurement,Procurement issue – Design Rework,,,,Minor,Closed,Consents Lead,2025-12-28,2026-01-18,2026-02-28,2026-01-18,Design Rework,
Issue,ISS000033,PRJ00005,Governance,Governance issue – Contractor Claims,,,,Minor,Open,Stakeholder Manager,2023-12-30,2024-01-08,2024-01-08,,Contractor Claims,
Issue,ISS000034,PRJ00005,Governance,Governance issue – Land Access/Wayleaves,,,,Critical,Closed,Engineering Manager,2024-12-15,2025-02-04,2025-02-24,2025-03-24,Land Access/Wayleaves,
Risk,RSK000065,PRJ00006,Stakeholder,Stakeholder risk – Outage Window,0.18,3196492,568509,Low,Open,HSE Lead,2023-10-18,2024-03-13,,,,
Risk,RSK000066,PRJ00006,Cost,Cost risk – Outage Window,0.51,12536860,6352141,Medium,Open,Engineering Manager,2025-10-15,2025-11-26,,,,
Risk,RSK000067,PRJ00006,Technical,Technical risk – Outage Window,0.24,12439127,3044703,Medium,Closed,Programme Controls,2023-10-10,2024-03-20,,2024-05-08,,
Risk,RSK000068,PRJ00006,Stakeholder,Stakeholder risk – Outage Window,0.11,8691684,996203,Low,Closed,Commercial Manager,2024-04-22,2024-04-22,,2024-06-19,,
Risk,RSK000069,PRJ00006,Environmental,Environmental risk – Outage Window,0.46,6037714,2752232,Medium,Open,Commercial Manager,2025-08-08,2025-12-04,,,,
Risk,RSK000070,PRJ00006,Technical,Technical risk – Outage Window,0.19,5120275,953387,Low,Open,PMO Lead,2024-08-14,2024-12-27,,,,
Risk,RSK000071,PRJ00006,Technical,Technical risk – Outage Window,0.52,3064064,1599689,Low,Mitigating,Consents Lead,2024-06-13,2024-08-09,,,,
Risk,RSK000072,PRJ00006,Cost,Cost risk – Outage Window,0.31,6699309,2064504,Medium,Mitigating,Engineering Manager,2025-07-07,2025-08-26,,,,
Risk,RSK000073,PRJ00006,Environmental,Environmental risk – Outage Window,0.09,12766845,1116988,Low,Mitigating,Stakeholder Manager,2024-05-17,2024-09-24,,,,
Risk,RSK000074,PRJ00006,Schedule,Schedule risk – Outage Window,0.51,3475654,1766922,Low,Open,PMO Lead,2024-04-14,2024-05-10,,,,
Risk,RSK000075,PRJ00006,Stakeholder,Stakeholder risk – Outage Window,0.3,8819446,2607454,Medium,Open,Programme Controls,2024-06-26,2024-07-07,,,,
Risk,RSK000076,PRJ00006,Stakeholder,Stakeholder risk – Outage Window,0.3,7672524,2336611,Medium,Mitigating,PMO Lead,2025-01-17,2025-02-11,,,,
Issue,ISS000035,PRJ00006,Stakeholder,Stakeholder issue – Permits/Consents,,,,Minor,Closed,Stakeholder Manager,2024-03-29,2024-04-16,2024-04-02,2024-04-01,Permits/Consents,
Issue,ISS000036,PRJ00006,Safety,Safety issue – Outage Window,,,,Minor,Closed,Programme Controls,2024-08-15,2024-09-27,2025-03-13,2024-12-07,Outage Window,
Issue,ISS000037,PRJ00006,Governance,Governance issue – Productivity Delay,,,,Minor,Closed,Programme Controls,2023-08-16,2023-08-19,2023-12-23,2023-12-21,Productivity Delay,
Issue,ISS000038,PRJ00006,Construction,Construction issue – Inflation/Materials,,,,Major,Open,Stakeholder Manager,2024-11-05,2025-01-30,2024-12-20,,Inflation/Materials,
Issue,ISS000039,PRJ00006,Governance,Governance issue – Design Rework,,,,Minor,Closed,Programme Controls,2025-07-31,2025-08-07,2025-11-30,2025-12-29,Design Rework,
Issue,ISS000040,PRJ00006,Resourcing,Resourcing issue – Procurement/Long Lead,,,,Major,In Progress,Consents Lead,2025-08-03,2025-09-15,2026-03-16,,Procurement/Long Lead,
Issue,ISS000041,PRJ00006,Governance,Governance issue – Design Rework,,,,Minor,Closed,Stakeholder Manager,2024-01-30,2024-03-13,2024-05-22,2024-06-11,Design Rework,
Issue,ISS000042,PRJ00006,Resourcing,Resourcing issue – Permits/Consents,,,,Major,Closed,HSE Lead,2024-01-26,2024-03-11,2024-04-04,2024-04-17,Permits/Consents,
Issue,ISS000043,PRJ00006,Design,Design issue – Inflation/Materials,,,,Minor,Closed,Commercial Manager,2024-06-25,2024-07-25,2024-07-31,2024-08-01,Inflation/Materials,
Risk,RSK000077,PRJ00007,Schedule,Schedule risk – Permits/Consents,0.43,13425348,5706196,Medium,Mitigating,Construction Manager,2024-12-23,2025-02-03,,,,
Risk,RSK000078,PRJ00007,Regulatory,Regulatory risk – Permits/Consents,0.49,8993583,4440133,Medium,Open,Commercial Manager,2024-05-11,2024-06-13,,,,
Risk,RSK000079,PRJ00007,Supply Chain,Supply Chain risk – Permits/Consents,0.25,3999305,1018893,Low,Open,Construction Manager,2023-07-31,2024-01-16,,,,
Risk,RSK000080,PRJ00007,Supply Chain,Supply Chain risk – Permits/Consents,0.35,4524644,1579409,Low,Closed,Programme Controls,2024-05-26,2024-10-10,,2024-11-11,,
Risk,RSK000081,PRJ00007,Stakeholder,Stakeholder risk – Permits/Consents,0.1,7490836,739260,Low,Closed,PMO Lead,2025-12-25,2026-01-18,,2026-01-18,,
Risk,RSK000082,PRJ00007,Stakeholder,Stakeholder risk – Permits/Consents,0.26,1716651,444025,Low,Closed,Commercial Manager,2024-07-04,2024-08-19,,2024-09-30,,
Issue,ISS000044,PRJ00007,Procurement,Procurement issue – Design Rework,,,,Critical,Closed,Construction Manager,2024-04-19,2024-04-26,2024-09-26,2024-11-25,Design Rework,
Issue,ISS000045,PRJ00007,Data/Reporting,Data/Reporting issue – Contractor Claims,,,,Minor,Closed,Stakeholder Manager,2024-10-02,2024-10-23,2024-10-08,2024-10-08,Contractor Claims,
Issue,ISS000046,PRJ00007,Construction,Construction issue – Procurement/Long Lead,,,,Major,Closed,Engineering Manager,2023-09-27,2023-11-01,2023-12-10,2023-11-22,Procurement/Long Lead,
Issue,ISS000047,PRJ00007,Construction,Construction issue – Permits/Consents,,,,Minor,Closed,Engineering Manager,2023-05-27,2023-07-14,2023-12-24,2023-10-10,Permits/Consents,
Risk,RSK000083,PRJ00008,Regulatory,Regulatory risk – Land Access/Wayleaves,0.23,2826093,645412,Low,Open,Engineering Manager,2024-07-19,2024-08-03,,,,
Risk,RSK000084,PRJ00008,Cost,Cost risk – Land Access/Wayleaves,0.53,5307300,2815389,Medium,Mitigating,Construction Manager,2024-08-19,2024-10-18,,,,
Risk,RSK000085,PRJ00008,Safety,Safety risk – Land Access/Wayleaves,0.47,5784405,2737817,Medium,Mitigating,HSE Lead,2024-12-05,2025-02-13,,,,
Risk,RSK000086,PRJ00008,Stakeholder,Stakeholder risk – Land Access/Wayleaves,0.07,4447798,316505,Low,Closed,Stakeholder Manager,2025-09-15,2026-01-18,,2026-01-18,,
Risk,RSK000087,PRJ00008,Safety,Safety risk – Land Access/Wayleaves,0.07,3012773,222675,Low,Closed,Stakeholder Manager,2025-05-08,2025-09-06,,2025-10-12,,
Risk,RSK000088,PRJ00008,Cost,Cost risk – Land Access/Wayleaves,0.17,2194528,375169,Low,Open,PMO Lead,2025-03-05,2025-05-26,,,,
Issue,ISS000048,PRJ00008,Stakeholder,Stakeholder issue – Permits/Consents,,,,Minor,Closed,Stakeholder Manager,2024-09-25,2024-09-26,2025-04-19,2025-04-08,Permits/Consents,
Issue,ISS000049,PRJ00008,Governance,Governance issue – Risk Realised,,,,Minor,Open,Stakeholder Manager,2025-07-27,2025-09-23,2025-10-20,,Risk Realised,
Issue,ISS000050,PRJ00008,Procurement,Procurement issue – Contractor Claims,,,,Minor,In Progress,Engineering Manager,2025-12-02,2026-01-18,2026-04-19,,Contractor Claims,
Risk,RSK000089,PRJ00009,Cost,Cost risk – Permits/Consents,0.1,4844191,493000,Low,Mitigating,Consents Lead,2024-12-08,2025-01-27,,,,
Risk,RSK000090,PRJ00009,Safety,Safety risk – Permits/Consents,0.53,15626261,8205444,High,Mitigating,Commercial Manager,2024-10-13,2024-11-02,,,,
Risk,RSK000091,PRJ00009,Schedule,Schedule risk – Permits/Consents,0.06,3113935,182810,Low,Open,Programme Controls,2025-05-11,2025-08-13,,,,
Risk,RSK000092,PRJ00009,Supply Chain,Supply Chain risk – Permits/Consents,0.25,6482021,1590343,Low,Mitigating,Construction Manager,2024-11-24,2025-01-08,,,,
Risk,RSK000093,PRJ00009,Schedule,Schedule risk – Permits/Consents,0.36,12149043,4361242,Medium,Mitigating,Programme Controls,2023-10-13,2024-01-25,,,,
Risk,RSK000094,PRJ00009,Schedule,Schedule risk – Permits/Consents,0.13,10835806,1438463,Low,Closed,PMO Lead,2025-11-30,2026-01-18,,2026-01-18,,
Risk,RSK000095,PRJ00009,Environmental,Environmental risk – Permits/Consents,0.42,5185156,2196655,Medium,Open,Consents Lead,2023-03-01,2023-04-17,,,,
Risk,RSK000096,PRJ00009,Cost,Cost risk – Permits/Consents,0.16,5360337,851405,Low,Open,HSE Lead,2024-05-19,2024-09-25,,,,
Risk,RSK000097,PRJ00009,Supply Chain,Supply Chain risk – Permits/Consents,0.49,4417853,2161960,Medium,Open,Consents Lead,2025-04-25,2025-09-29,,,,
Risk,RSK000098,PRJ00009,Stakeholder,Stakeholder risk – Permits/Consents,0.07,2184508,153980,Low,Mitigating,Programme Controls,2023-05-03,2023-10-03,,,,
Risk,RSK000099,PRJ00009,Supply Chain,Supply Chain risk – Permits/Consents,0.46,9123528,4183302,Medium,Mitigating,Stakeholder Manager,2025-02-01,2025-02-12,,,,
Risk,RSK000100,PRJ00009,Supply Chain,Supply Chain risk – Permits/Consents,0.5,5391344,2696248,Medium,Mitigating,Commercial Manager,2023-08-25,2023-12-01,,,,
Risk,RSK000101,PRJ00009,Cost,Cost risk – Permits/Consents,0.12,4220083,495316,Low,Open,Consents Lead,2023-07-30,2023-08-13,,,,
Issue,ISS000051,PRJ00009,Design,Design issue – Contractor Capacity,,,,Critical,In Progress,Commercial Manager,2024-09-29,2024-11-22,2025-05-04,,Contractor Capacity,
Issue,ISS000052,PRJ00009,Resourcing,Resourcing issue – Scope Change,,,,Minor,Closed,Programme Controls,2023-10-16,2023-10-16,2024-04-15,2024-05-05,Scope Change,
Issue,ISS000053,PRJ00009,Construction,Construction issue – Permits/Consents,,,,Minor,Closed,Engineering Manager,2025-06-20,2025-07-06,2025-11-03,2025-12-12,Permits/Consents,
Issue,ISS000054,PRJ00009,Stakeholder,Stakeholder issue – Risk Realised,,,,Major,In Progress,Programme Controls,2024-09-30,2024-11-08,2025-05-03,,Risk Realised,
Issue,ISS000055,PRJ00009,Governance,Governance issue – Land Access/Wayleaves,,,,Critical,Closed,Commercial Manager,2023-05-23,2023-06-14,2023-10-03,2023-09-27,Land Access/Wayleaves,
Issue,ISS000056,PRJ00009,Resourcing,Resourcing issue – Inflation/Materials,,,,Minor,In Progress,Consents Lead,2025-08-03,2025-08-03,2025-10-23,,Inflation/Materials,
Issue,ISS000057,PRJ00009,Governance,Governance issue – Land Access/Wayleaves,,,,Major,In Progress,Stakeholder Manager,2023-05-05,2023-06-09,2023-09-25,,Land Access/Wayleaves,
