MilestoneID,ProjectID,MilestoneName,MilestonePhase,BaselineDate,ForecastDate,ActualDate,MilestoneStatus,DelayReason,OwnerRole
MS00002_015,PRJ00002,Contract Award,Procurement,2024-08-29,2024-09-18,,Late,Design Rework,Consents Lead
MS00002_016,PRJ00002,Closeout & Benefits Review,Commissioning,2024-09-12,2024-12-18,2024-12-22,Completed,,HSE Lead
MS00002_017,PRJ00002,Site Mobilisation,Construction,2024-10-29,2025-02-04,2025-02-05,Completed,,Consents Lead
MS00002_018,PRJ00002,Contract Award,Procurement,2024-12-21,2025-02-28,2025-02-28,Completed,,PMO Lead
MS00002_019,PRJ00002,Primary Plant Installed,Construction,2024-12-26,2025-01-29,2025-01-29,Completed,,Consents Lead
MS00002_020,PRJ00002,Stakeholder Engagement Plan,Planning & Consents,2025-01-31,2025-03-13,2025-03-13,Completed,,PMO Lead
MS00002_021,PRJ00002,Energisation,Commissioning,2025-02-12,2025-03-05,2025-03-04,Completed,,HSE Lead
MS00002_022,PRJ00002,Detailed Design Complete,Design,2025-02-13,2025-02-27,2025-02-24,Completed,,HSE Lead
MS00002_023,PRJ00002,Route / Solution Selection,Planning & Consents,2025-03-01,2025-03-13,2025-03-19,Completed,,PMO Lead
MS00002_024,PRJ00002,Environmental Surveys Complete,Planning & Consents,2025-03-28,2025-04-25,2025-04-27,Completed,,PMO Lead
MS00002_025,PRJ00002,Environmental Surveys Complete,Planning & Consents,2025-05-08,2025-05-21,2025-05-23,Completed,,Construction Manager
MS00002_026,PRJ00002,Route / Solution Selection,Planning & Consents,2025-06-25,2025-06-19,2025-06-17,Completed,,Engineering Manager
MS00002_027,PRJ00002,Civils Complete,Construction,2025-08-18,2025-10-15,2025-10-19,Completed,,Consents Lead
MS00002_028,PRJ00002,Planning Submission,Planning & Consents,2025-08-21,2025-10-18,2025-10-19,Completed,,PMO Lead
MS00002_029,PRJ00002,Energisation,Commissioning,2025-08-24,2025-12-13,2025-12-09,Completed,,PMO Lead
MS00002_030,PRJ00002,Contract Award,Procurement,2025-09-16,2025-10-12,2025-10-14,Completed,,Commercial Manager
MS00002_031,PRJ00002,Primary Plant Installed,Construction,2025-11-11,2026-01-11,2026-01-11,Completed,,HSE Lead
MS00002_032,PRJ00002,Detailed Design Complete,Design,2026-01-09,2026-03-11,,Forecast,Design Rework,Construction Manager
MS00002_033,PRJ00002,Planning Approval,Planning & Consents,2026-01-20,2026-03-02,,Due,,PMO Lead
MS00002_034,PRJ00002,Land Access Secured,Planning & Consents,2026-01-21,2026-04-08,,Due,,Construction Manager
MS00002_035,PRJ00002,Foundation Complete,Construction,2026-01-27,2026-04-15,,Due,,Consents Lead
MS00002_036,PRJ00002,Primary Plant Installed,Construction,2026-02-03,2026-04-06,,Due,,Engineering Manager
MS00002_037,PRJ00002,Concept Design Complete,Design,2026-02-12,2026-03-25,,Due,,Stakeholder Manager
MS00002_038,PRJ00002,Design Freeze,Design,2026-04-07,2026-05-14,,Due,,Programme Controls
MS00002_039,PRJ00002,As-built Documentation Complete,Commissioning,2026-05-13,2026-05-14,,Due,,Commercial Manager
MS00002_040,PRJ00002,Energisation,Commissioning,2026-05-30,2026-06-20,,Due,,Stakeholder Manager
MS00002_041,PRJ00002,Tender Issued,Procurement,2026-07-30,2026-08-27,,Due,,Construction Manager
MS00002_042,PRJ00002,Environmental Surveys Complete,Planning & Consents,2026-09-05,2026-09-15,,Due,,HSE Lead
MS00002_043,PRJ00002,Detailed Design Complete,Design,2026-09-29,2026-12-04,,Due,,Programme Controls
MS00002_044,PRJ00002,Equipment Delivered,Procurement,2026-09-29,2026-12-31,,Due,,Consents Lead
MS00002_045,PRJ00002,Site Mobilisation,Construction,2026-10-13,2026-10-30,,Due,,Stakeholder Manager
MS00002_046,PRJ00002,Land Access Secured,Planning & Consents,2027-02-03,2027-04-04,2026-01-18,Completed,,Programme Controls
MS00002_047,PRJ00002,Stakeholder Engagement Plan,Planning & Consents,2027-02-14,2027-02-27,,Due,,PMO Lead
MS00002_048,PRJ00002,Long-lead Equipment Ordered,Procurement,2027-02-18,2027-03-29,2026-01-18,Completed,,Stakeholder Manager
MS00002_049,PRJ00002,Testing & Commissioning Start,Commissioning,2027-03-28,2027-04-22,,Due,,Commercial Manager
MS00002_050,PRJ00002,Planning Approval,Planning & Consents,2027-04-23,2027-07-04,,Due,,Stakeholder Manager
MS00002_051,PRJ00002,Tender Issued,Procurement,2027-05-19,2027-06-14,2026-01-18,Completed,,Commercial Manager
MS00002_052,PRJ00002,Energisation,Commissioning,2027-06-13,2027-09-07,2026-01-18,Completed,,Construction Manager
MS00003_001,PRJ00003,Stakeholder Engagement Plan,Planning & Consents,2025-09-07,2025-10-06,2025-10-07,Completed,,PMO Lead
MS00003_002,PRJ00003,Testing & Commissioning Start,Commissioning,2025-10-20,2025-11-01,2025-10-18,Completed,,Stakeholder Manager
MS00003_003,PRJ00003,Energisation,Commissioning,2026-01-13,2026-01-06,2025-12-24,Completed,,Commercial Manager
MS00003_004,PRJ00003,Planning Submission,Planning & Consents,2026-03-01,2026-02-24,,Due,,Programme Controls
MS00003_005,PRJ00003,Planning Submission,Planning & Consents,2026-03-07,2026-03-04,,Due,,Stakeholder Manager
MS00003_006,PRJ00003,Construction Start,Construction,2026-06-15,2026-06-27,2026-01-18,Completed,,Consents Lead
MS00003_007,PRJ00003,Detailed Design Complete,Design,2026-06-25,2026-07-22,,Due,,Commercial Manager
MS00003_008,PRJ00003,Primary Plant Installed,Construction,2026-08-24,2026-09-16,,Due,,PMO Lead
MS00003_009,PRJ00003,Handover to Operations,Commissioning,2026-11-24,2026-12-07,,Due,,Construction Manager
MS00003_010,PRJ00003,Construction Start,Construction,2026-12-11,2026-11-29,,Due,,Programme Controls
MS00003_011,PRJ00003,Environmental Surveys Complete,Planning & Consents,2026-12-26,2026-12-14,,Due,,Engineering Manager
MS00003_012,PRJ00003,Land Access Secured,Planning & Consents,2027-01-09,2027-01-24,2026-01-18,Completed,,Consents Lead
MS00003_013,PRJ00003,Civils Complete,Construction,2027-02-25,2027-02-13,,Due,,Stakeholder Manager
MS00003_014,PRJ00003,Stakeholder Engagement Plan,Planning & Consents,2027-03-01,2027-03-03,,Due,,HSE Lead
MS00003_015,PRJ00003,Equipment Delivered,Procurement,2027-03-01,2027-03-12,,Due,,Consents Lead
MS00003_016,PRJ00003,Contract Award,Procurement,2027-03-11,2027-02-27,,Due,,PMO Lead
MS00003_017,PRJ00003,Primary Plant Installed,Construction,2027-03-20,2027-03-10,2026-01-18,Completed,,Commercial Manager
MS00003_018,PRJ00003,Land Access Secured,Planning & Consents,2027-04-02,2027-04-06,,Due,,Engineering Manager
MS00003_019,PRJ00003,Secondary / Protection Installed,Construction,2027-04-30,2027-05-14,,Due,,PMO Lead
MS00003_020,PRJ00003,Civils Complete,Construction,2027-05-25,2027-06-17,,Due,,Programme Controls
MS00003_021,PRJ00003,Environmental Surveys Complete,Planning & Consents,2027-06-05,2027-06-21,2026-01-18,Completed,,Stakeholder Manager
MS00003_022,PRJ00003,Planning Approval,Planning & Consents,2027-06-29,2027-07-06,2026-01-18,Completed,,PMO Lead
MS00003_023,PRJ00003,Stakeholder Engagement Plan,Planning & Consents,2027-07-01,2027-06-25,2026-01-18,Completed,,HSE Lead
MS00003_024,PRJ00003,Contract Award,Procurement,2027-08-27,2027-08-16,2026-01-18,Completed,,Commercial Manager
MS00003_025,PRJ00003,Energisation,Commissioning,2027-09-25,2027-09-23,2026-01-18,Completed,,HSE Lead
MS00003_026,PRJ00003,Planning Submission,Planning & Consents,2027-10-07,2027-10-20,,Due,,Engineering Manager
MS00003_027,PRJ00003,Site Mobilisation,Construction,2027-11-01,2027-11-12,,Due,,Stakeholder Manager
MS00003_028,PRJ00003,Site Mobilisation,Construction,2027-12-15,2027-12-03,,Due,,Construction Manager
MS00003_029,PRJ00003,Planning Submission,Planning & Consents,2028-01-05,2027-12-29,,Due,,Commercial Manager
MS00003_030,PRJ00003,Land Access Secured,Planning & Consents,2028-01-13,2028-02-07,,Due,,Stakeholder Manager
MS00003_031,PRJ00003,Stakeholder Engagement Plan,Planning & Consents,2028-01-19,2028-01-26,,Due,,PMO Lead
MS00003_032,PRJ00003,Civils Complete,Construction,2028-02-06,2028-01-25,2026-01-18,Completed,,Programme Controls
MS00003_033,PRJ00003,Design Freeze,Design,2028-02-22,2028-04-06,,Due,,Construction Manager
MS00003_034,PRJ00003,Stakeholder Engagement Plan,Planning & Consents,2028-03-28,2028-04-03,,Due,,Construction Manager
MS00003_035,PRJ00003,Land Access Secured,Planning & Consents,2028-04-10,2028-04-22,,Due,,Consents Lead
MS00003_036,PRJ00003,Closeout & Benefits Review,Commissioning,2028-05-10,2028-05-22,,Due,,HSE Lead
MS00003_037,PRJ00003,Contract Award,Procurement,2028-06-06,2028-06-06,,Due,,Commercial Manager
MS00003_038,PRJ00003,Civils Complete,Construction,2028-07-09,2028-07-03,,Due,,Stakeholder Manager
MS00003_039,PRJ00003,Long-lead Equipment Ordered,Procurement,2028-07-26,2028-09-04,2026-01-18,Completed,,Construction Manager
MS00003_040,PRJ00003,Land Access Secured,Planning & Consents,2028-08-01,2028-08-23,,Due,,Consents Lead
MS00003_041,PRJ00003,Detailed Design Complete,Design,2028-08-20,2028-09-08,,Due,,Programme Controls
MS00003_042,PRJ00003,Route / Solution Selection,Planning & Consents,2028-11-24,2028-12-09,,Due,,Stakeholder Manager
MS00003_043,PRJ00003,Primary Plant Installed,Construction,2028-12-09,2028-11-29,,Due,,PMO Lead
MS00003_044,PRJ00003,Design Freeze,Design,2028-12-17,2029-01-12,2026-01-18,Completed,,Programme Controls
MS00004_001,PRJ00004,Contract Award,Procurement,2023-05-16,2023-05-13,2023-05-11,Completed,,Programme Controls
MS00004_002,PRJ00004,Primary Plant Installed,Construction,2023-06-01,2023-09-10,2023-08-26,Completed,,Stakeholder Manager
MS00004_003,PRJ00004,Primary Plant Installed,Construction,2023-06-08,2023-06-11,,Late,Procurement/Long Lead,Programme Controls
MS00004_004,PRJ00004,Land Access Secured,Planning & Consents,2023-07-20,2023-08-14,2023-08-14,Completed,,PMO Lead
MS00004_005,PRJ00004,Primary Plant Installed,Construction,2023-11-24,2023-11-12,2023-11-08,Completed,,PMO Lead
MS00004_006,PRJ00004,Handover to Operations,Commissioning,2023-12-10,2024-01-04,2024-01-16,Completed,,Construction Manager
MS00004_007,PRJ00004,Contract Award,Procurement,2024-03-01,2024-02-28,,Late,Procurement/Long Lead,HSE Lead
MS00004_008,PRJ00004,Route / Solution Selection,Planning & Consents,2024-04-09,2024-04-19,2024-04-19,Completed,,HSE Lead
MS00004_009,PRJ00004,Closeout & Benefits Review,Commissioning,2024-04-30,2024-06-18,2024-07-01,Completed,,HSE Lead
MS00004_010,PRJ00004,Equipment Delivered,Procurement,2024-05-19,2024-06-22,2024-06-25,Completed,,Programme Controls
MS00004_011,PRJ00004,Secondary / Protection Installed,Construction,2024-05-22,2024-06-28,2024-06-26,Completed,,PMO Lead
MS00004_012,PRJ00004,Detailed Design Complete,Design,2024-06-10,2024-05-29,2024-06-02,Completed,,Programme Controls
MS00004_013,PRJ00004,Detailed Design Complete,Design,2024-09-04,2024-11-13,2024-11-14,Completed,,Stakeholder Manager
MS00004_014,PRJ00004,Environmental Surveys Complete,Planning & Consents,2024-09-04,2024-08-26,2024-08-19,Completed,,PMO Lead
MS00004_015,PRJ00004,Detailed Design Complete,Design,2024-09-09,2024-11-10,,Late,Procurement/Long Lead,Consents Lead
MS00004_016,PRJ00004,Long-lead Equipment Ordered,Procurement,2025-01-07,2025-02-25,2025-02-25,Completed,,Construction Manager
MS00004_017,PRJ00004,Planning Submission,Planning & Consents,2025-01-16,2025-02-22,2025-02-14,Completed,,Consents Lead
MS00004_018,PRJ00004,Energisation,Commissioning,2025-02-07,2025-02-07,2025-02-04,Completed,,HSE Lead
MS00004_019,PRJ00004,Equipment Delivered,Procurement,2025-03-01,2025-03-27,2025-03-27,Completed,,Consents Lead
MS00004_020,PRJ00004,Handover to Operations,Commissioning,2025-03-03,2025-03-13,2025-03-10,Completed,,HSE Lead
MS00004_021,PRJ00004,Equipment Delivered,Procurement,2025-04-03,2025-04-26,,Late,Procurement/Long Lead,Commercial Manager
MS00004_022,PRJ00004,Detailed Design Complete,Design,2025-04-23,2025-05-09,2025-05-18,Completed,,Programme Controls
MS00004_023,PRJ00004,Equipment Delivered,Procurement,2025-06-20,2025-06-08,2025-06-03,Completed,,Engineering Manager
MS00004_024,PRJ00004,Planning Approval,Planning & Consents,2025-06-22,2025-08-12,2025-08-06,Completed,,Construction Manager
MS00004_025,PRJ00004,Testing & Commissioning Start,Commissioning,2025-08-01,2025-08-21,2025-08-23,Completed,,PMO Lead
MS00004_026,PRJ00004,Primary Plant Installed,Construction,2025-08-22,2025-08-31,,Late,Procurement/Long Lead,Consents Lead
MS00004_027,PRJ00004,Planning Approval,Planning & Consents,2025-08-25,2025-09-01,2025-08-23,Completed,,Construction Manager
MS00004_028,PRJ00004,Site Mobilisation,Construction,2025-10-04,2025-11-04,2025-10-28,Completed,,Stakeholder Manager
MS00004_029,PRJ00004,Equipment Delivered,Procurement,2025-10-08,2025-10-07,2025-09-28,Completed,,Commercial Manager
MS00004_030,PRJ00004,Land Access Secured,Planning & Consents,2025-11-20,2025-11-08,2025-10-29,Completed,,Commercial Manager
MS00004_031,PRJ00004,Planning Submission,Planning & Consents,2025-12-27,2026-01-29,2026-01-18,Completed,,Commercial Manager
MS00004_032,PRJ00004,Secondary / Protection Installed,Construction,2026-01-01,2026-02-05,,Forecast,Procurement/Long Lead,Construction Manager
MS00004_033,PRJ00004,Planning Approval,Planning & Consents,2026-01-14,2026-01-31,,Forecast,Procurement/Long Lead,Programme Controls
MS00004_034,PRJ00004,Energisation,Commissioning,2026-02-05,2026-01-28,2026-01-18,Completed,,Consents Lead
MS00004_035,PRJ00004,Environmental Surveys Complete,Planning & Consents,2026-02-07,2026-03-03,,Due,,Stakeholder Manager
MS00004_036,PRJ00004,Foundation Complete,Construction,2026-02-12,2026-01-31,,Due,,Commercial Manager
MS00004_037,PRJ00004,Construction Start,Construction,2026-03-09,2026-03-04,,Due,,Engineering Manager
MS00004_038,PRJ00004,Design Freeze,Design,2026-06-16,2026-06-18,,Due,,Programme Controls
MS00004_039,PRJ00004,Site Mobilisation,Construction,2026-07-25,2026-09-07,,Due,,Construction Manager
MS00004_040,PRJ00004,Contract Award,Procurement,2026-08-12,2026-08-25,2026-01-18,Completed,,Programme Controls
MS00004_041,PRJ00004,Construction Start,Construction,2026-09-06,2026-09-16,,Due,,PMO Lead
MS00004_042,PRJ00004,Land Access Secured,Planning & Consents,2026-09-10,2026-11-22,,Due,,Programme Controls
MS00004_043,PRJ00004,Contract Award,Procurement,2026-09-27,2026-10-28,,Due,,Construction Manager
MS00005_001,PRJ00005,Primary Plant Installed,Construction,2023-03-18,2023-04-19,2023-04-21,Completed,,PMO Lead
MS00005_002,PRJ00005,Tender Issued,Procurement,2023-04-12,2023-04-30,2023-04-22,Completed,,Consents Lead
MS00005_003,PRJ00005,Route / Solution Selection,Planning & Consents,2023-05-23,2023-05-13,,Late,Contractor Capacity,Construction Manager
MS00005_004,PRJ00005,Design Freeze,Design,2023-05-24,2023-05-15,2023-05-10,Completed,,Engineering Manager
MS00005_005,PRJ00005,Civils Complete,Construction,2023-06-30,2023-07-16,2023-07-15,Completed,,PMO Lead
MS00005_006,PRJ00005,Foundation Complete,Construction,2023-07-01,2023-07-03,2023-06-12,Completed,,Construction Manager
MS00005_007,PRJ00005,Closeout & Benefits Review,Commissioning,2023-07-30,2023-08-02,2023-08-06,Completed,,HSE Lead
MS00005_008,PRJ00005,Closeout & Benefits Review,Commissioning,2023-09-22,2023-10-18,,Late,Contractor Capacity,HSE Lead
MS00005_009,PRJ00005,Environmental Surveys Complete,Planning & Consents,2023-09-25,2023-09-19,2023-09-19,Completed,,Engineering Manager
MS00005_010,PRJ00005,Route / Solution Selection,Planning & Consents,2023-10-16,2023-10-23,,Late,Contractor Capacity,Construction Manager
MS00005_011,PRJ00005,Concept Design Complete,Design,2023-10-25,2023-11-15,2023-11-17,Completed,,Engineering Manager
MS00005_012,PRJ00005,Handover to Operations,Commissioning,2023-10-29,2023-11-17,,Late,Contractor Capacity,Consents Lead
MS00005_013,PRJ00005,Testing & Commissioning Start,Commissioning,2023-11-01,2023-11-04,2023-10-29,Completed,,Construction Manager
MS00005_014,PRJ00005,Planning Submission,Planning & Consents,2023-11-21,2023-11-22,2023-11-27,Completed,,Programme Controls
MS00005_015,PRJ00005,Planning Approval,Planning & Consents,2024-02-25,2024-02-13,2024-02-18,Completed,,Consents Lead
MS00005_016,PRJ00005,Site Mobilisation,Construction,2024-03-07,2024-02-25,2024-02-23,Completed,,Consents Lead
MS00005_017,PRJ00005,Foundation Complete,Construction,2024-03-15,2024-03-26,2024-03-29,Completed,,Stakeholder Manager
MS00005_018,PRJ00005,Closeout & Benefits Review,Commissioning,2024-04-13,2024-04-17,2024-04-14,Completed,,Consents Lead
MS00005_019,PRJ00005,Secondary / Protection Installed,Construction,2024-04-15,2024-04-22,2024-05-02,Completed,,Commercial Manager
MS00005_020,PRJ00005,Environmental Surveys Complete,Planning & Consents,2024-05-19,2024-06-11,2024-06-16,Completed,,Consents Lead
MS00005_021,PRJ00005,Route / Solution Selection,Planning & Consents,2024-05-26,2024-05-14,2024-05-12,Completed,,Consents Lead
MS00005_022,PRJ00005,Foundation Complete,Construction,2024-06-19,2024-06-21,2024-07-04,Completed,,Commercial Manager
MS00005_023,PRJ00005,Site Mobilisation,Construction,2024-06-29,2024-07-08,2024-07-08,Completed,,Engineering Manager
MS00005_024,PRJ00005,As-built Documentation Complete,Commissioning,2024-07-21,2024-07-16,2024-07-16,Completed,,Programme Controls
MS00005_025,PRJ00005,Site Mobilisation,Construction,2024-09-06,2024-10-05,2024-09-28,Completed,,HSE Lead
MS00005_026,PRJ00005,Equipment Delivered,Procurement,2024-09-16,2024-10-07,2024-10-04,Completed,,PMO Lead
MS00005_027,PRJ00005,Detailed Design Complete,Design,2024-10-27,2024-11-07,2024-11-20,Completed,,HSE Lead
MS00005_028,PRJ00005,Planning Submission,Planning & Consents,2025-01-25,2025-03-01,2025-02-26,Completed,,Consents Lead
MS00005_029,PRJ00005,Handover to Operations,Commissioning,2025-02-16,2025-02-04,2025-01-16,Completed,,Stakeholder Manager
MS00005_030,PRJ00005,Testing & Commissioning Start,Commissioning,2025-02-17,2025-02-23,2025-02-27,Completed,,Stakeholder Manager
MS00005_031,PRJ00005,Planning Approval,Planning & Consents,2025-02-26,2025-03-10,2025-03-10,Completed,,Engineering Manager
MS00005_032,PRJ00005,Civils Complete,Construction,2025-04-20,2025-04-11,2025-04-23,Completed,,Construction Manager
MS00005_033,PRJ00005,Design Freeze,Design,2025-05-10,2025-05-21,2025-05-18,Completed,,Commercial Manager
MS00005_034,PRJ00005,Energisation,Commissioning,2025-05-23,2025-05-11,2025-05-04,Completed,,PMO Lead
MS00005_035,PRJ00005,Energisation,Commissioning,2025-06-10,2025-06-27,2025-06-17,Completed,,Stakeholder Manager
